service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"1791_1000000026048","1","1","1","1","1","0","0","20260522","20260529"
"1791_1000000026135","1","1","1","1","1","0","0","20260522","20260529"
"1791_1000000026180","1","1","1","1","1","1","0","20260522","20260530"
"1791_1000000026249","1","1","1","1","1","0","0","20260522","20260529"
"1791_1000000026252","1","1","1","1","1","0","0","20260522","20260529"
"1791_1000000026253","1","1","1","1","1","0","0","20260522","20260529"
"1791_1000000026254","1","1","1","1","1","0","0","20260522","20260529"
"1791_1000000026256","1","1","1","1","1","0","0","20260522","20260529"
"1791_1000000026257","1","1","1","1","1","0","0","20260522","20260529"
"1791_1000000026258","1","1","1","1","1","0","0","20260522","20260529"
"1791_1000000026259","1","1","1","1","1","0","0","20260522","20260529"
"1791_1000000026260","1","1","1","1","1","0","0","20260522","20260529"
"1791_1000000026261","1","1","1","1","1","0","0","20260522","20260529"
"1791_1000000026262","1","1","1","1","1","0","0","20260522","20260529"
"1791_1000000026263","1","1","1","1","1","0","0","20260522","20260529"
"1791_1000000026264","1","1","1","1","1","0","0","20260522","20260529"
"1791_1000000026265","1","1","1","1","1","0","0","20260522","20260529"
"1791_1000000026266","1","1","1","1","1","0","0","20260522","20260529"
"1791_1000000026268","1","1","1","1","1","0","0","20260522","20260529"
"1791_1000000026271","1","1","1","1","1","0","0","20260522","20260529"
"1791_1000000026272","1","1","1","1","1","0","0","20260522","20260529"
"1791_1000000026273","1","1","1","1","1","0","0","20260522","20260529"
"1791_1000000026274","1","1","1","1","1","0","0","20260522","20260529"
"1791_1000000026275","1","1","1","1","1","0","0","20260522","20260529"
"1791_1000000026276","1","1","1","1","1","0","0","20260522","20260529"
"1791_1000000026277","1","1","1","1","1","0","0","20260522","20260529"
"1791_1000000026279","1","1","1","1","1","0","0","20260522","20260529"
"1791_1000000026280","1","1","1","1","1","0","0","20260522","20260529"
"1791_1000000026281","1","1","1","1","1","0","0","20260522","20260529"
"1791_1000000026282","1","1","1","1","1","0","0","20260522","20260529"
"1791_1000000026283","1","1","1","1","1","0","0","20260522","20260529"
"1791_1000000026285","1","1","1","1","1","0","0","20260522","20260529"
"1791_1000000026286","1","1","1","1","1","0","0","20260522","20260529"
"1791_1000000026287","1","1","1","1","1","0","0","20260522","20260529"
"1791_1000000026289","1","1","1","1","1","0","0","20260522","20260529"
"1791_1000000026290","1","1","1","1","1","0","0","20260522","20260529"
"1791_1000000026292","1","1","1","1","1","0","0","20260522","20260529"
"1791_1000000026319","1","1","1","1","1","0","0","20260522","20260529"
"1791_1000000026323","1","1","1","1","1","0","0","20260522","20260529"
"1791_1000000026324","1","1","1","1","1","0","0","20260522","20260529"
"1791_1000000026326","1","1","1","1","1","0","0","20260522","20260529"
"1791_1000000026327","1","1","1","1","1","0","0","20260522","20260529"
"1791_1000000026328","1","1","1","1","1","0","0","20260522","20260529"
"1791_1000000026329","1","1","1","1","1","0","0","20260522","20260529"
"1791_1000000026331","1","1","1","1","1","0","0","20260522","20260529"
"1791_1000000026332","1","1","1","1","1","0","0","20260522","20260529"
"1791_1000000026334","1","1","1","1","1","0","0","20260522","20260529"
"1791_1000000026335","1","1","1","1","1","0","0","20260522","20260529"
"1791_1000000026336","1","1","1","1","1","0","0","20260522","20260529"
"1791_1000000026337","1","1","1","1","1","0","0","20260522","20260529"
"1791_1000000026338","1","1","1","1","1","0","0","20260522","20260529"
"1791_1000000026339","1","1","1","1","1","0","0","20260522","20260529"
"1791_1000000026340","1","1","1","1","1","0","0","20260522","20260529"
"1791_1000000026342","1","1","1","1","1","0","0","20260522","20260529"
"1791_1000000026343","1","1","1","1","1","0","0","20260522","20260529"
"1791_1000000026347","1","1","1","1","1","0","0","20260522","20260529"
"1791_1000000026348","1","1","1","1","1","0","0","20260522","20260529"
"1791_1000000026349","1","1","1","1","1","0","0","20260522","20260529"
"1791_1000000026350","1","1","1","1","1","0","0","20260522","20260529"
"1791_1000000026351","1","1","1","1","1","0","0","20260522","20260529"
"1791_1000000026353","1","1","1","1","1","0","0","20260522","20260529"
"1791_1000000026354","1","1","1","1","1","0","0","20260522","20260529"
"1791_1000000026355","1","1","1","1","1","0","0","20260522","20260529"
"1791_1000000026356","1","1","1","1","1","0","0","20260522","20260529"
"1791_1000000026357","1","1","1","1","1","0","0","20260522","20260529"
"1791_1000000026358","1","1","1","1","1","0","0","20260522","20260529"
"1791_1000000026359","1","1","1","1","1","0","0","20260522","20260529"
"1791_1000000026361","1","1","1","1","1","0","0","20260522","20260529"
"1791_1000000026362","1","1","1","1","1","0","0","20260522","20260529"
"1791_1000000026365","1","1","1","1","1","0","0","20260522","20260529"
"1791_1000000026366","1","1","1","1","1","0","0","20260522","20260529"
"1791_1000000026367","1","1","1","1","1","0","0","20260522","20260529"
"1791_1000000026371","1","1","1","1","1","0","0","20260522","20260529"
"1791_1000000026373","1","1","1","1","1","0","0","20260522","20260529"
"1791_1000000026376","1","1","1","1","1","0","0","20260522","20260529"
"1791_1000000026419","1","1","1","1","1","1","0","20260522","20260530"
"1791_1000000026420","1","1","1","1","1","1","0","20260522","20260530"
"1791_1000000026421","1","1","1","1","1","1","0","20260522","20260530"
"1791_1000000026422","1","1","1","1","1","1","0","20260522","20260530"
"1791_1000000026423","1","1","1","1","1","1","0","20260522","20260530"
"1791_1000000026424","1","1","1","1","1","1","0","20260522","20260530"
"1791_1000000026426","1","1","1","1","1","1","0","20260522","20260530"
"1791_1000000026427","1","1","1","1","1","1","0","20260522","20260530"
"1791_1000000026428","1","1","1","1","1","1","0","20260522","20260530"
"1791_1000000026429","1","1","1","1","1","1","0","20260522","20260530"
"1791_1000000026430","1","1","1","1","1","1","0","20260522","20260530"
"1791_1000000026431","1","1","1","1","1","1","0","20260522","20260530"
"1791_1000000026432","1","1","1","1","1","1","0","20260522","20260530"
"1791_1000000026433","1","1","1","1","1","1","0","20260522","20260530"
"1791_1000000026435","1","1","1","1","1","1","0","20260522","20260530"
"1791_1000000026436","1","1","1","1","1","1","0","20260522","20260530"
"1791_1000000026437","1","1","1","1","1","1","0","20260522","20260530"
"1791_1000000026438","1","1","1","1","1","1","0","20260522","20260530"
"1791_1000000026439","1","1","1","1","1","1","0","20260522","20260530"
"1791_1000000026440","1","1","1","1","1","1","0","20260522","20260530"
"1791_1000000026441","1","1","1","1","1","1","0","20260522","20260530"
"1791_1000000026443","1","1","1","1","1","1","0","20260522","20260530"
"1791_1000000026444","1","1","1","1","1","1","0","20260522","20260530"
"1791_1000000026446","1","1","1","1","1","1","0","20260522","20260530"
"1791_1000000026447","1","1","1","1","1","1","0","20260522","20260530"
"1791_1000000026449","1","1","1","1","1","1","0","20260522","20260530"
"1791_1000000026450","1","1","1","1","1","1","0","20260522","20260530"
"1791_1000000026452","1","1","1","1","1","1","0","20260522","20260530"
"1791_1000000026455","1","1","1","1","1","1","0","20260522","20260530"
"1791_1000000026456","1","1","1","1","1","1","0","20260522","20260530"
"1791_1000000026457","1","1","1","1","1","1","0","20260522","20260530"
"1791_1000000026458","1","1","1","1","1","1","0","20260522","20260530"
"1791_1000000026459","1","1","1","1","1","1","0","20260522","20260530"
"1791_1000000026460","1","1","1","1","1","1","0","20260522","20260530"
"1791_1000000026461","1","1","1","1","1","1","0","20260522","20260530"
"1791_1000000026462","1","1","1","1","1","1","0","20260522","20260530"
"1791_1000000026463","1","1","1","1","1","1","0","20260522","20260530"
"1791_1000000026465","1","1","1","1","1","1","0","20260522","20260530"
"1791_1000000026470","1","1","1","1","1","0","0","20260522","20260529"
"1791_1000000026481","0","0","0","0","0","0","1","20260522","20260531"
"1791_1000000026482","0","0","0","0","0","0","1","20260522","20260531"
"1791_1000000026483","0","0","0","0","0","0","1","20260522","20260531"
"1791_1000000026484","0","0","0","0","0","0","1","20260522","20260531"
"1791_1000000026485","0","0","0","0","0","0","1","20260522","20260531"
"1791_1000000026489","0","0","0","0","0","0","1","20260522","20260531"
"1791_1000000026490","0","0","0","0","0","0","1","20260522","20260531"
"1791_1000000026492","0","0","0","0","0","0","1","20260522","20260531"
"1791_1000000026493","0","0","0","0","0","0","1","20260522","20260531"
"1791_1000000026494","0","0","0","0","0","0","1","20260522","20260531"
"1791_1000000026496","0","0","0","0","0","0","1","20260522","20260531"
"1791_1000000026498","0","0","0","0","0","0","1","20260522","20260531"
"1791_1000000026499","0","0","0","0","0","0","1","20260522","20260531"
"1791_1000000026502","0","0","0","0","0","0","1","20260522","20260531"
"1791_1000000026503","0","0","0","0","0","0","1","20260522","20260531"
"1791_1000000026504","0","0","0","0","0","0","1","20260522","20260531"
"1791_1000000026505","0","0","0","0","0","0","1","20260522","20260531"
"1791_1000000026508","0","0","0","0","0","0","1","20260522","20260531"
"1791_1000000026509","0","0","0","0","0","0","1","20260522","20260531"
"1791_1000000026512","1","1","1","1","1","1","1","20260522","20260531"
"1791_1000000026520","1","0","1","0","1","0","0","20260522","20260529"
"1791_1000000026521","0","1","0","1","0","0","0","20260522","20260528"
"1791_1000000026522","0","1","0","1","0","0","0","20260522","20260528"
"1791_1000000026526","1","1","1","1","1","0","0","20260522","20260529"
"1791_1000000026527","0","0","0","0","0","0","1","20260522","20260531"
"1791_1000000026528","0","0","0","0","0","1","0","20260522","20260530"
"1791_1000000026532","0","0","0","0","0","1","1","20260522","20260531"
"1791_1000000026533","0","0","0","0","0","1","1","20260522","20260531"
"1791_1000000026534","0","0","0","0","0","1","1","20260522","20260531"
"1791_1000000026535","0","0","0","0","0","1","1","20260522","20260531"
"1791_1000000026593","0","0","0","0","0","1","0","20260522","20260530"
"1791_1000000026594","0","0","0","0","0","1","0","20260522","20260530"
"1791_1000000026595","0","0","0","0","0","1","0","20260522","20260530"
"1791_1000000026596","0","0","0","0","0","1","0","20260522","20260530"
"1791_1000000026597","0","0","0","0","0","1","0","20260522","20260530"
"1791_1000000026598","0","0","0","0","0","1","0","20260522","20260530"
"1791_1000000026601","0","0","0","0","0","1","0","20260522","20260530"
"1791_1000000026602","0","0","0","0","0","1","0","20260522","20260530"
"1791_1000000026603","0","0","0","0","0","1","0","20260522","20260530"
"1791_1000000026605","0","0","0","0","0","1","0","20260522","20260530"
"1791_1000000026606","0","0","0","0","0","1","0","20260522","20260530"
"1791_1000000026607","0","0","0","0","0","1","0","20260522","20260530"
"1791_1000000026608","0","0","0","0","0","1","0","20260522","20260530"
"1791_1000000026609","0","0","0","0","0","1","0","20260522","20260530"
"1791_1000000026610","0","0","0","0","0","1","0","20260522","20260530"
"1791_1000000026611","0","0","0","0","0","1","0","20260522","20260530"
"1791_1000000026612","0","0","0","0","0","1","0","20260522","20260530"
"1791_1000000026614","0","0","0","0","0","1","0","20260522","20260530"
"1791_1000000026615","0","0","0","0","0","1","0","20260522","20260530"
"1791_1000000026617","0","0","0","0","0","1","0","20260522","20260530"
"1791_1000000026618","0","0","0","0","0","1","0","20260522","20260530"
