Station,Degree,Degree Centrality,Closeness Centrality,Betweenness Centrality,Coreness
STAZIONE CENTRALE,2,0.001597444089456869,0.00018906857435215744,0.0,2
PORTA GALLIERA,8,0.006389776357827476,0.00019846577594093734,0.05515715223348478,2
PIAZZA MAGGIORE,2,0.001597444089456869,0.0001975604977748,0.005778125103750865,2
IDICE,3,0.0023961661341853034,9.307697460752942e-05,0.011622650761180194,2
IDICE,3,0.0023961661341853034,9.279393411048948e-05,0.011945714993500408,2
IDICE TRE PONTI,2,0.001597444089456869,8.889993919518801e-05,0.000581004844686551,2
IDICE TRE PONTI,2,0.001597444089456869,8.716381478238825e-05,0.009232230828755525,1
IDICE TRE PONTI,2,0.001597444089456869,8.709992447137985e-05,0.009232230828755525,1
MARESCOTTA,2,0.001597444089456869,8.278731338652142e-05,0.007699910359252534,1
MARESCOTTA,2,0.001597444089456869,8.30460398274709e-05,0.007699910359252534,1
CAMPANA,2,0.001597444089456869,7.956841275621417e-05,0.00616503602230037,1
CAMPANA,2,0.001597444089456869,7.88570764897589e-05,0.00616503602230037,1
OLMATELLO,2,0.001597444089456869,7.439066692856917e-05,0.0046276078178990356,1
OLMATELLO,2,0.001597444089456869,7.4134418259598e-05,0.0046276078178990356,1
PORTA MAGGIORE,4,0.003194888178913738,0.00019562538404857563,0.04736530264606206,2
OZZANO,2,0.001597444089456869,7.034244820970064e-05,0.0030876257460485286,1
OZZANO,2,0.001597444089456869,6.979928961882494e-05,0.0030876257460485286,1
OZZANO PIAVE,2,0.001597444089456869,6.629054617508123e-05,0.0015450898067488502,1
OZZANO PIAVE,2,0.001597444089456869,6.588618544634532e-05,0.0015450898067488502,1
TOLARA BIVIO,1,0.0007987220447284345,6.421184745200985e-05,0.0,1
PORTA MAGGIORE,3,0.0023961661341853034,0.00019845088170454672,0.051923956042833466,2
TOLARA BIVIO,1,0.0007987220447284345,6.388821072339885e-05,0.0,1
ALBERTONI,2,0.001597444089456869,0.00018208114695859588,0.0,2
ALBERTONI,2,0.001597444089456869,0.00019379898362392481,0.050807915967545456,2
ALEMANNI - AGEOP RICERCA,3,0.0023961661341853034,0.0001748862047334023,0.04358174802011426,2
ALBERTONI,2,0.001597444089456869,0.00018636532960198765,0.0444973095006423,2
ALEMANNI - AGEOP RICERCA,3,0.0023961661341853034,0.00019314183040313902,0.07517691916754136,2
LAURA BASSI,2,0.001597444089456869,0.00016896895563067022,0.04265980187096329,2
LAURA BASSI,2,0.001597444089456869,0.00018233323309523457,0.06321588096934593,2
FERMI,2,0.001597444089456869,0.00016460158449308778,0.04181574867901206,2
FERMI,2,0.001597444089456869,0.00017626086377281228,0.06211516409875295,2
MAZZINI STAZIONE,2,0.001597444089456869,0.00016193486105431221,0.041049588444260564,2
MAZZINI STAZIONE,2,0.001597444089456869,0.00016918768337249138,0.061157463805313575,2
PONTEVECCHIO,2,0.001597444089456869,0.0001587600921723957,0.04039707531099721,2
PONTEVECCHIO,3,0.0023961661341853034,0.00016399200311618,0.06676703365741911,2
VILLA PARADISO,3,0.0023961661341853034,0.00015686418012276056,0.045669534659812085,2
VILLA LAURA,2,0.001597444089456869,0.00015376940075942944,0.04486378947959843,2
VILLA LAURA,2,0.001597444089456869,0.00014833238054184761,0.03427673196905734,2
ARNO,2,0.001597444089456869,0.00014331269635958372,0.04208901249607343,2
ARNO,2,0.001597444089456869,0.00014187114858395757,0.03288359727553421,2
EMILIA CALABRIA,2,0.001597444089456869,0.00014884680669319516,0.04347448558724905,2
VILLAGGIO DUE MADONNE,2,0.001597444089456869,0.00013705073818025116,0.040718862609592836,2
VILLAGGIO DUE MADONNE,2,0.001597444089456869,0.0001335399879807096,0.03150706272043068,2
PARCO DEI CEDRI,2,0.001597444089456869,0.00012963491589051444,0.03937425139760396,2
PARCO DEI CEDRI,2,0.001597444089456869,0.00012790538429970156,0.03014968217119595,2
SAN LAZZARO FIUME SAVENA,2,0.001597444089456869,0.00012643438278648928,0.038053901926382215,2
SAN LAZZARO FIUME SAVENA,2,0.001597444089456869,0.00012314790890225553,0.028824224965075862,2
