Station_ID,Station_Name,Latitude,Longitude,Community_ID
1,STAZIONE CENTRALE,44.50576575,11.34317589,4
10,PORTA GALLIERA,44.50444281,11.3463873,2
100,PIAZZA MAGGIORE,44.4943692,11.3436723,6
10001,IDICE,44.45985295,11.43665318,0
10002,IDICE,44.46003544,11.436539,0
10003,IDICE TRE PONTI,44.45657296,11.44419111,0
10005,IDICE TRE PONTI,44.45650543,11.44466436,0
10006,IDICE TRE PONTI,44.45681162,11.4442922,0
10009,MARESCOTTA,44.45412812,11.4516194,0
10010,MARESCOTTA,44.45459228,11.45070402,0
10013,CAMPANA,44.45203565,11.45708549,0
10014,CAMPANA,44.45194994,11.45793026,0
10017,OLMATELLO,44.4483912,11.46692389,0
10018,OLMATELLO,44.44853072,11.46697689,0
1002,PORTA MAGGIORE,44.48988493,11.3581904,0
10021,OZZANO,44.44511505,11.47556707,0
10022,OZZANO,44.44494148,11.4763059,0
10025,OZZANO PIAVE,44.44142188,11.48524403,0
10026,OZZANO PIAVE,44.44138113,11.48582349,0
10029,TOLARA BIVIO,44.43938928,11.49070244,0
1003,PORTA MAGGIORE,44.48966894,11.35829567,0
10030,TOLARA BIVIO,44.43935824,11.4910938,0
1004,ALBERTONI,44.48783117,11.36336834,0
1005,ALBERTONI,44.48791017,11.36291271,0
1006,ALEMANNI - AGEOP RICERCA,44.48656268,11.36676841,0
1008,ALBERTONI,44.48854535,11.36159918,1
1009,ALEMANNI - AGEOP RICERCA,44.48711477,11.36507885,0
1010,LAURA BASSI,44.48517234,11.37050999,0
1011,LAURA BASSI,44.48551226,11.36939589,0
1012,FERMI,44.48393846,11.37375786,0
1013,FERMI,44.48439907,11.37225258,0
1018,MAZZINI STAZIONE,44.48301643,11.37596748,0
1019,MAZZINI STAZIONE,44.48274896,11.3765445,0
1020,PONTEVECCHIO,44.4818874,11.37906298,0
1021,PONTEVECCHIO,44.48143292,11.38045916,0
1022,VILLA PARADISO,44.48107787,11.38159216,0
1025,VILLA LAURA,44.47933254,11.38525491,0
1026,VILLA LAURA,44.47921225,11.38597617,0
1027,ARNO,44.47716644,11.39119186,0
1028,ARNO,44.47782387,11.38980964,0
1031,EMILIA CALABRIA,44.47836855,11.38795363,0
1033,VILLAGGIO DUE MADONNE,44.47559917,11.39517569,0
1034,VILLAGGIO DUE MADONNE,44.47571733,11.39530941,0
1035,PARCO DEI CEDRI,44.47357286,11.40050195,0
1036,PARCO DEI CEDRI,44.47404506,11.39942556,0
1037,SAN LAZZARO FIUME SAVENA,44.47264177,11.40307018,0
1038,SAN LAZZARO FIUME SAVENA,44.47256732,11.4033563,0
1041,SAN LAZZARO VILLA RODRIGUEZ,44.47151424,11.40607324,0
1042,SAN LAZZARO VILLA RODRIGUEZ,44.4717488,11.40558676,0
1043,SAN LAZZARO MUNICIPIO,44.47072213,11.40808772,0
1044,SAN LAZZARO MUNICIPIO,44.47060884,11.40852666,0
1045,SAN LAZZARO JUSSI,44.46882273,11.4129825,0
105,RIZZOLI,44.49445532,11.34491628,0
1050,SAN LAZZARO MODENA,44.465452,11.40748425,2
1052,SAN LAZZARO MARZABOTTO,44.46354554,11.40765176,2
1053,SAN LAZZARO DI VITTORIO,44.46697213,11.41253065,0
1054,SAN LAZZARO PERTINI,44.45868499,11.40884397,0
1060,SAN LAZZARO DI VITTORIO,44.46806146,11.4136473,0
1061,SAN LAZZARO KENNEDY,44.46437648,11.41024337,0
1062,SAN LAZZARO KENNEDY,44.46432575,11.4103535,0
1063,SAN LAZZARO PISCINA KENNEDY,44.46257171,11.40926055,0
1064,SAN LAZZARO PISCINA KENNEDY,44.46263244,11.40936864,0
1065,SAN LAZZARO KENNEDY - SCORNETTA,44.46038859,11.40918831,0
1066,SAN LAZZARO KENNEDY - SCORNETTA ,44.46045921,11.40922642,0
108,PIAZZA MAGGIORE,44.49358847,11.34368217,6
109,RIZZOLI,44.49430039,11.34599708,1
11,PORTA GALLIERA,44.50449161,11.34724311,9
1101,BITONE,44.4782025,11.38478055,1
1102,BITONE,44.47979967,11.38374065,1
1103,SARDEGNA,44.47613179,11.38351974,2
1104,LOMBARDIA,44.47725295,11.38482358,1
1105,CALABRIA,44.47446643,11.38248926,2
1106,SARDEGNA,44.47574208,11.38399423,2
1109,MILANO,44.47315115,11.3813733,1
111,STRADA MAGGIORE,44.49270369,11.35025937,0
1110,CALABRIA,44.47458146,11.38288216,2
1111,CHIESA SAN LORENZO,44.47183158,11.3833702,1
1112,CHIESA SAN LORENZO,44.4726061,11.38166152,1
1114,MAZZONI,44.4715351,11.3856349,1
1117,MAZZONI,44.47148021,11.38529949,1
1118,FIRENZE,44.46996536,11.38563064,1
1119,FIRENZE,44.47076787,11.38575764,1
112,PIAZZA GALVANI,44.49214571,11.3432716,6
1120,LONGO CAVAZZONI,44.46820727,11.38521562,1
1121,LONGO CAVAZZONI,44.46839077,11.38505023,1
1122,PIAZZALE ATLETI AZZURRI,44.46423946,11.38201422,1
1124,LONGO,44.46617303,11.38457959,1
1125,LONGO,44.46603437,11.38407893,1
1128,BELLARIA LOMBARDIA,44.47678565,11.38618372,1
113,GARGANELLI,44.49055523,11.35073426,2
1131,BELLARIA LOMBARDIA,44.47590469,11.38734889,1
1133,CENTRO CIVICO MAZZINI,44.47433947,11.39023157,1
1134,CENTRO CIVICO MAZZINI,44.47462755,11.38993607,1
1135,GENOVA,44.47276477,11.3943501,1
1136,GENOVA,44.47295165,11.39447981,1
114,PIAZZA GALVANI,44.49205677,11.34335528,6
1141,ADIGE,44.47738475,11.37991019,2
1142,ADIGE,44.47747247,11.3795892,2
1143,VENEZIA GIULIA,44.47829118,11.38177267,2
1144,VENEZIA GIULIA,44.47834279,11.38188794,2
1151,FAENZA,44.47323192,11.38776918,3
1152,CENTRO GALLIA,44.46959578,11.38427977,3
1153,ARNO,44.47644313,11.39013046,3
1154,FAENZA,44.47307458,11.38749008,3
1156,ARNO,44.47684266,11.39012871,3
117,TORLEONE,44.49089016,11.35504035,0
12,BORGO,44.50276435,11.35117478,2
1201,OSPEDALE MALPIGHI,44.48856617,11.36639517,2
1202,OSPEDALE MALPIGHI,44.4892827,11.36676293,4
1203,PIZZARDI,44.48980543,11.36857938,4
1204,MENGOLI,44.4883403,11.37001428,4
1205,MENGOLI,44.48867202,11.3722207,4
1206,AZZURRA,44.48650964,11.37319804,4
1209,AZZURRA,44.48639962,11.3730238,4
1210,FOSSOLO,44.48605978,11.37718754,4
1211,FOSSOLO,44.48604793,11.37699998,4
1212,FELSINA,44.48389232,11.38097107,4
1213,FELSINA,44.48382161,11.38085502,4
1214,ALLENDE,44.48287523,11.38522015,4
1217,ALLENDE,44.48271796,11.38596117,4
1218,LINCOLN,44.48214269,11.38988891,4
1219,LINCOLN,44.48203407,11.38996706,4
1251,MENGOLI,44.48951586,11.37160488,9
1252,MENGOLI,44.48914569,11.37157495,9
1253,AGNESI,44.48774995,11.37042659,9
1254,AGNESI,44.48617901,11.36958558,9
1263,POMPONAZZI,44.48067855,11.390118,4
1264,POMPONAZZI,44.48080023,11.39011119,4
1266,BOMBICCI,44.47920469,11.39432897,4
13,BORGO,44.50300565,11.35126076,9
1301,DANTE,44.48741149,11.35870613,1
1302,DANTE,44.48766732,11.35969502,1
1303,PIAZZA TRENTO TRIESTE,44.48674516,11.36230943,1
1304,PIAZZA TRENTO TRIESTE,44.48662986,11.3614869,1
1305,SAVIOLI,44.48582584,11.36462145,1
1306,SAVIOLI,44.48436977,11.36308471,1
1309,MEZZOFANTI,44.48351186,11.36500706,1
1310,MEZZOFANTI,44.48345442,11.36552505,1
1311,ALBINI,44.48237401,11.36799951,1
1312,ALBINI,44.48209545,11.3691129,1
1313,LARGO LERCARO,44.48009905,11.37006552,1
1314,LARGO LERCARO,44.47970576,11.36992936,1
1351,ALEMANNI - AGEOP RICERCA,44.4860583,11.36585671,2
1352,ALEMANNI - AGEOP RICERCA,44.48628328,11.3662132,2
1353,LAURA BASSI,44.48524054,11.36874273,9
1354,LAURA BASSI,44.48310451,11.36750327,9
14,PORTA MASCARELLA,44.5017753,11.35373575,9
1400,FERMATA SERVIZIO DUE MADONNE,44.48480216,11.39455505,3
1401,MONDOLFO,44.48150054,11.39337072,4
1402,MONDOLFO,44.48133394,11.39305111,4
1403,DEPOSITO DUE MADONNE 1,44.4831604,11.39438962,4
1404,DEPOSITO DUE MADONNE 1,44.48320394,11.39424522,4
1405,DEPOSITO DUE MADONNE 2,44.4851561,11.39567526,3
1406,DEPOSITO DUE MADONNE 2,44.4852113,11.39548904,3
1407,CANOVA,44.48800003,11.3970888,3
1408,CANOVA,44.4880386,11.39699371,3
