Station_Name,Latitude,Longitude,Population_Served,Type
SAN DONNINO,44.50865815333333,11.378483469999999,2922.0,bus
BORGO PANIGALE CIMITERO,44.51579295,11.27231644,1583.0,bus
CHIESA BORGO PANIGALE,44.517724,11.27468618,1583.0,bus
MANUZIO,44.5167291,11.277115,1583.0,tram
SCALA,44.51655723,11.27783747,1583.0,bus
DUCATI,44.5191739,11.2702074,1583.0,tram
BORGO PANIGALE - MUSEO DUCATI,44.51859111,11.27208463,1583.0,bus
PARCHEGGIO LERCARO,44.47887149,11.37236012,1364.857142857143,bus
ALBINI,44.48223473,11.368556205,1364.857142857143,bus
LARGO LERCARO,44.479902405000004,11.36999744,1364.857142857143,bus
BORGO PANIGALE STAZIONE,44.51441474,11.28371699,1175.5714285714284,intersezione_bus_tram
CENTRO VITTORIA - MAST,44.50387134,11.29415505,1041.6623376623377,bus
TOGLIATTI,44.502279765,11.299737935,1041.6623376623377,bus
EMILIO LEPIDO,44.5232201,11.2622004,1026.6666666666667,tram
VILLAGGIO INA,44.521186505,11.2644412,1026.6666666666667,bus
LUNETTA GAMBERINI,44.476585424999996,11.37312272,993.4285714285714,bus
ORTI,44.477305985,11.370377555000001,993.4285714285714,bus
CROCETTA,44.49534508,11.31989311,987.6153846153846,bus
SAN PAOLO RAVONE,44.49532927,11.3229532,987.6153846153846,bus
MAGNANI,44.494230195,11.312598325,987.6153846153846,bus
XXI APRILE MARTINI,44.491996415,11.314181575,987.6153846153846,bus
XXI APRILE ZANNONI,44.491637275,11.31831143,987.6153846153846,bus
MARTINI,44.494946185,11.315873255,987.6153846153846,bus
MONTEFIORINO,44.495859010000004,11.3151012,987.6153846153846,bus
IRMA BANDIERA,44.493182585,11.313411774999999,987.6153846153846,bus
PASSAROTTI,44.516318909999995,11.3545562,987.5833333333334,bus
CIGNANI,44.513135500000004,11.352243860000002,987.5833333333334,bus
CASARALTA,44.51485348,11.353095445000001,987.5833333333334,bus
CA DEI FIORI,44.5136854,11.3472839,987.5833333333334,tram
CASONI,44.51811289,11.35608611,987.5833333333334,bus
ZUCCA,44.511750705,11.348827495,987.5833333333334,bus
ALDINI VALERIANI,44.5217465,11.348165,987.5833333333334,tram
BIRRA,44.52130784,11.29498427,969.5,bus
DUE PONTI,44.519133710000006,11.29401642,969.5,bus
FERMI,44.484168765,11.37300522,960.3452380952381,bus
PONTELUNGO,44.5089505,11.2965104,888.015873015873,tram
SANTA VIOLA,44.5070375,11.3051174,888.015873015873,tram
PARCO,44.49322177,11.376410329999999,880.25,bus
TANGENZIALE SAN VITALE,44.493482715,11.389744305,880.25,bus
GIAMBOLOGNA,44.493233454999995,11.385722735,880.25,bus
SANTA RITA,44.49350601,11.3831264,880.25,bus
MASSARENTI SOTTOVIA,44.493624714999996,11.381455299999999,880.25,bus
IPPODROMO,44.5176945,11.347836,837.7583333333333,tram
LAURA BASSI,44.4847574125,11.36903797,806.5857142857143,bus
DEPOSITO BATTINDARNO,44.502088325,11.297621025,797.1818181818181,bus
BELCANTONE,44.4953632,11.293616085,797.1818181818181,bus
BERTOCCHI,44.499981605,11.29377994,797.1818181818181,bus
BATTINDARNO DE CAROLIS,44.500087095,11.295991655,797.1818181818181,bus
DE AMBRIS,44.49589646,11.291367480000002,797.1818181818181,bus
ROMA,44.470708695,11.390590125,792.1111111111111,bus
SAN LAZZARO VILLA RODRIGUEZ,44.47163152,11.40583,792.1111111111111,bus
