Station,Degree,Degree Centrality,Closeness Centrality,Betweenness Centrality,Coreness
Acton Town,4,0.013289036544850499,5.883780676024315e-05,0.11709856035437431,2
Aldgate,2,0.006644518272425249,7.93616543799515e-05,0.0031893687707641198,2
Aldgate East,3,0.009966777408637873,8.081837376461214e-05,0.206046511627907,2
All Saints,2,0.006644518272425249,6.658354623179089e-05,0.021749723145071984,2
Alperton,2,0.006644518272425249,4.8601150784825514e-05,0.044584717607973424,2
Angel,2,0.006644518272425249,8.197578566730435e-05,0.002879291251384275,2
Archway,2,0.006644518272425249,6.369616119761028e-05,0.05191583610188261,1
Arnos Grove,2,0.006644518272425249,4.584341799547526e-05,0.019800664451827245,1
Arsenal,2,0.006644518272425249,6.827777143843806e-05,0.08267995570321152,2
Baker Street,7,0.023255813953488372,8.634479250774035e-05,0.28675526024363235,2
Balham,2,0.006644518272425249,5.651851645910281e-05,0.032779623477297896,1
Bank,6,0.019933554817275746,8.452734733343988e-05,0.2419933554817276,2
Barbican,2,0.006644518272425249,8.258968512129123e-05,0.14952380952380953,2
Barking,2,0.006644518272425249,4.7533451555280046e-05,0.05191583610188261,1
Barkingside,2,0.006644518272425249,3.920739732012415e-05,0.01311184939091916,2
Barons Court,3,0.009966777408637873,7.156898669702522e-05,0.14458471760797342,2
Bayswater,2,0.006644518272425249,7.763837728515371e-05,0.05173864894795128,2
Beckton,1,0.0033222591362126247,4.652301686208032e-05,0.0,1
Beckton Park,2,0.006644518272425249,5.146035272121553e-05,0.019800664451827245,1
Becontree,2,0.006644518272425249,4.151400576534713e-05,0.03920265780730897,1
Belsize Park,2,0.006644518272425249,6.764060038344108e-05,0.04558139534883721,1
Bethnal Green,2,0.006644518272425249,7.410956972421174e-05,0.0,2
Blackfriars,2,0.006644518272425249,8.259351517268207e-05,0.023676633444075307,2
Blackhorse Road,2,0.006644518272425249,4.8614006619947475e-05,0.006644518272425249,1
Blackwall,2,0.006644518272425249,6.575085409115061e-05,0.06239202657807309,2
Bond Street,4,0.013289036544850499,8.845370172589144e-05,0.20540420819490587,2
Borough,2,0.006644518272425249,7.885271524532531e-05,0.029700996677740864,2
Boston Manor,2,0.006644518272425249,4.9824611596813235e-05,0.04558139534883721,2
Bounds Green,2,0.006644518272425249,4.84452699699743e-05,0.026312292358803988,1
Bow Church,2,0.006644518272425249,6.0596330085739755e-05,0.011650055370985605,2
Bow Road,2,0.006644518272425249,6.811423716526023e-05,0.0718936877076412,2
Brent Cross,2,0.006644518272425249,5.183469734938919e-05,0.026312292358803988,1
Bromley-By-Bow,2,0.006644518272425249,6.561199911909045e-05,0.06753045404208195,2
Burnt Oak,2,0.006644518272425249,4.208246352261629e-05,0.006644518272425249,1
Caledonian Road,2,0.006644518272425249,7.506065212486035e-05,0.09468438538205981,2
Camden Town,4,0.013289036544850499,7.73001405622409e-05,0.12666666666666668,2
Canary Wharf,4,0.013289036544850499,6.816342168186754e-05,0.08301218161683278,2
Cannon Street,2,0.006644518272425249,8.041130807209614e-05,0.018803986710963456,2
Canons Park,2,0.006644518272425249,4.1079437299596685e-05,0.006644518272425249,1
Chalk Farm,2,0.006644518272425249,7.23060407911149e-05,0.05191583610188261,1
Chancery Lane,2,0.006644518272425249,8.658170126116967e-05,0.09984496124031009,2
Charing Cross,3,0.009966777408637873,8.812010984124836e-05,0.0702547065337763,2
Chigwell,2,0.006644518272425249,3.7758247380345036e-05,0.007242524916943522,2
Chiswick Park,2,0.006644518272425249,6.1015162550370846e-05,0.0,2
Clapham Common,2,0.006644518272425249,6.466942672909932e-05,0.04558139534883721,1
Clapham North,2,0.006644518272425249,6.74994327757608e-05,0.05191583610188261,1
Clapham South,2,0.006644518272425249,6.016171109929462e-05,0.03920265780730897,1
Colindale,2,0.006644518272425249,4.440858695907775e-05,0.013244739756367665,1
Colliers Wood,2,0.006644518272425249,4.78109788108765e-05,0.013244739756367665,1
Covent Garden,2,0.006644518272425249,8.767826185393374e-05,0.019091915836101883,2
Crossharbour & London Arena,2,0.006644518272425249,6.333599072819745e-05,0.04558139534883721,1
Custom House,2,0.006644518272425249,5.68673167332599e-05,0.03920265780730897,1
Cyprus,2,0.006644518272425249,4.988689114763603e-05,0.013244739756367665,1
Dagenham East,2,0.006644518272425249,3.745091099915228e-05,0.026312292358803988,1
Dagenham Heathway,2,0.006644518272425249,3.9334979672206016e-05,0.032779623477297896,1
Devons Road,2,0.006644518272425249,6.226873989907943e-05,0.016522702104097453,2
Dollis Hill,2,0.006644518272425249,5.837720429641573e-05,0.008017718715393134,2
Ealing Broadway,2,0.006644518272425249,5.4838586107284104e-05,0.013156146179401994,2
Ealing Common,3,0.009966777408637873,5.660980518800355e-05,0.0672203765227021,2
Earl's Court,6,0.019933554817275746,7.55629797301152e-05,0.20066445182724255,2
Eastcote,2,0.006644518272425249,3.9693396899173616e-05,0.032779623477297896,1
East Acton,2,0.006644518272425249,6.31612572114109e-05,0.05293466223698782,2
East Finchley,2,0.006644518272425249,5.314646708843692e-05,0.03920265780730897,1
East Ham,2,0.006644518272425249,5.226770707100576e-05,0.05820598006644519,1
East India,2,0.006644518272425249,6.474629457112211e-05,0.05787375415282393,2
East Putney,2,0.006644518272425249,5.8325354040013426e-05,0.019800664451827245,1
Edgware,1,0.0033222591362126247,3.970638961420853e-05,0.0,1
Edgware Road (B),2,0.006644518272425249,8.336083813934832e-05,0.12522702104097452,2
Edgware Road (C),2,0.006644518272425249,8.308117740326203e-05,0.0,2
Elephant & Castle,3,0.009966777408637873,8.035398053552714e-05,0.0318936877076412,2
Elm Park,2,0.006644518272425249,3.454072797217577e-05,0.019800664451827245,1
Embankment,4,0.013289036544850499,8.784130694211024e-05,0.07191583610188262,2
Euston,4,0.013289036544850499,8.5042881997794e-05,0.16130675526024363,2
Euston Square,2,0.006644518272425249,8.514290880185973e-05,0.10411960132890366,2
Fairlop,2,0.006644518272425249,3.7615742691731463e-05,0.006976744186046512,2
Farringdon,2,0.006644518272425249,8.285624266611533e-05,0.14978959025470653,2
Finchley Central,3,0.009966777408637873,4.71585219098284e-05,0.03286821705426357,1
Finchley Road,4,0.013289036544850499,7.156451910669912e-05,0.16591362126245848,2
Finsbury Park,4,0.013289036544850499,6.572830041633584e-05,0.0775858250276855,2
Fulham Broadway,2,0.006644518272425249,6.90528440253295e-05,0.03920265780730897,1
Gallions Reach,2,0.006644518272425249,4.85909358942811e-05,0.006644518272425249,1
Gants Hill,2,0.006644518272425249,4.357710209630452e-05,0.02549280177187154,2
Gloucester Road,3,0.009966777408637873,7.82335556170412e-05,0.16704318936877077,2
Golders Green,2,0.006644518272425249,5.583934581915236e-05,0.032779623477297896,1
Goldhawk Road,2,0.006644518272425249,6.6418673875267e-05,0.0067331118493909195,2
Goodge Street,2,0.006644518272425249,8.622400899504438e-05,0.011561461794019933,2
Grange Hill,2,0.006644518272425249,3.612115798516448e-05,0.0009080841638981175,2
Great Portland Street,2,0.006644518272425249,8.51248251827722e-05,0.10409745293466224,2
Greenford,2,0.006644518272425249,4.423618258723887e-05,0.026312292358803988,1
Green Park,6,0.019933554817275746,8.827061737182435e-05,0.10292358803986712,2
Gunnersbury,2,0.006644518272425249,5.798257067969732e-05,0.013244739756367665,1
Hainault,2,0.006644518272425249,3.660874548338204e-05,0.0008194905869324475,2
Hammersmith,4,0.013289036544850499,6.89582890692178e-05,0.1459136212624585,2
Hampstead,2,0.006644518272425249,6.280263025211832e-05,0.03920265780730897,1
Hanger Lane,2,0.006644518272425249,5.2980456067008795e-05,0.03920265780730897,1
Harlesden,2,0.006644518272425249,5.2362356788284306e-05,0.03920265780730897,1
Harrow & Wealdston,1,0.0033222591362126247,3.6377858469013535e-05,0.0,1
Harrow-on-the-Hill,3,0.009966777408637873,4.530959371928858e-05,0.12070874861572536,2
Hatton Cross,3,0.009966777408637873,3.5740233095300806e-05,0.013244739756367665,2
"Heathrow Terminals 1, 2 & 3",2,0.006644518272425249,3.3246528900259404e-05,0.0,2
Heathrow Terminal 4,2,0.006644518272425249,3.348794921051216e-05,0.0,2
Hendon Central,2,0.006644518272425249,4.909687944321552e-05,0.019800664451827245,1
Heron Quays,2,0.006644518272425249,6.728508122142157e-05,0.05820598006644519,1
High Street Kensington,3,0.009966777408637873,7.656951004075806e-05,0.04440753045404208,2
Highbury & Islington,2,0.006644518272425249,7.384232226336857e-05,0.0,2
Highgate,2,0.006644518272425249,5.8207195566578895e-05,0.04558139534883721,1
Hillingdon,2,0.006644518272425249,3.3654425296831776e-05,0.006644518272425249,1
Holborn,4,0.013289036544850499,8.839749218180862e-05,0.11636766334440754,2
Holland Park,2,0.006644518272425249,7.489130355414133e-05,0.06715393133997785,2
Holloway Road,2,0.006644518272425249,7.199374648681479e-05,0.08870431893687708,2
Hornchurch,2,0.006644518272425249,3.2856633936295465e-05,0.013244739756367665,1
Hounslow Central,2,0.006644518272425249,4.159296387046273e-05,0.026312292358803988,2
Hounslow East,2,0.006644518272425249,4.2862483142212995e-05,0.032779623477297896,2
Hounslow West,2,0.006644518272425249,3.945086172779453e-05,0.019800664451827245,2
Hyde Park Corner,2,0.006644518272425249,8.427950385113816e-05,0.06334440753045405,2
Ickenham,2,0.006644518272425249,3.48742190856567e-05,0.013244739756367665,1
Island Gardens,2,0.006644518272425249,5.9462830613736483e-05,0.032779623477297896,1
Kennington,3,0.009966777408637873,7.78464741791028e-05,0.037475083056478405,2
Kensal Green,2,0.006644518272425249,5.940465994252775e-05,0.05191583610188261,1
Kensington (Olympia),1,0.0033222591362126247,6.950681400188823e-05,0.0,1
Kentish Town,2,0.006644518272425249,7.07409136478592e-05,0.06445182724252492,1
Kenton,2,0.006644518272425249,3.8889945865475685e-05,0.006644518272425249,1
Kew Gardens,2,0.006644518272425249,5.270601882084019e-05,0.006644518272425249,1
Kilburn,2,0.006644518272425249,6.546711339876981e-05,0.01825027685492802,2
Kilburn Park,2,0.006644518272425249,6.781705774755837e-05,0.06445182724252492,1
Kingsbury,2,0.006644518272425249,4.63656509810911e-05,0.019800664451827245,1
King's Cross St. Pancras,7,0.023255813953488372,8.643516166554667e-05,0.23534883720930233,2
Knightsbridge,2,0.006644518272425249,8.205048774936886e-05,0.059534883720930236,2
Ladbroke Grove,2,0.006644518272425249,6.984112531502525e-05,0.012380952380952381,2
Lambeth North,2,0.006644518272425249,8.3245090667982e-05,0.007884828349944629,2
Lancaster Gate,2,0.006644518272425249,8.096152614729503e-05,0.05187153931339978,2
Latimer Road,2,0.006644518272425249,6.808128222198606e-05,0.008128460686600222,2
Leicester Square,4,0.013289036544850499,8.837139971461386e-05,0.031052048726467333,2
Leyton,2,0.006644518272425249,5.7464008326162944e-05,0.11867109634551495,2
Leytonstone,3,0.009966777408637873,5.3163226649500125e-05,0.11346622369878184,2
Limehouse,2,0.006644518272425249,7.2659415504817e-05,0.11944629014396457,2
Liverpool Street,5,0.016611295681063124,8.292961339867341e-05,0.2036544850498339,2
London Bridge,4,0.013289036544850499,8.156266584591519e-05,0.07211517165005538,2
Maida Vale,2,0.006644518272425249,7.15017651947858e-05,0.07065337763012182,1
Manor House,2,0.006644518272425249,6.159787997614736e-05,0.04558139534883721,1
Mansion House,2,0.006644518272425249,8.104875725984832e-05,0.021218161683277965,2
Marble Arch,2,0.006644518272425249,8.534367377719289e-05,0.05548172757475083,2
Marylebone,2,0.006644518272425249,8.48668846125618e-05,0.12843853820598009,2
Mile End,4,0.013289036544850499,7.054913284144637e-05,0.18888150609080842,2
Mill Hill East,1,0.0033222591362126247,4.421890165773949e-05,0.0,1
Monument,2,0.006644518272425249,7.996583762806805e-05,0.01681063122923588,2
Moorgate,4,0.013289036544850499,8.346841246820451e-05,0.15700996677740864,2
Moor Park,3,0.009966777408637873,3.2526390400005475e-05,0.04580287929125139,1
Morden,1,0.0033222591362126247,4.273186284446529e-05,0.0,1
Mornington Crescent,2,0.006644518272425249,8.062619594913547e-05,0.0,2
Mudchute,2,0.006644518272425249,6.107240438076307e-05,0.03920265780730897,1
Neasden,2,0.006644518272425249,5.626545818136773e-05,0.0029014396456256922,2
Newbury Park,2,0.006644518272425249,4.085473212079677e-05,0.019246954595791805,2
Northfields,2,0.006644518272425249,5.195025838423255e-05,0.05191583610188261,2
Northolt,2,0.006644518272425249,4.115768292709819e-05,0.019800664451827245,1
Northwick Park,2,0.006644518272425249,4.6878125155313e-05,0.10850498338870433,2
Northwood,2,0.006644518272425249,3.4793679379573707e-05,0.05191583610188261,1
Northwood Hills,2,0.006644518272425249,3.668254435421349e-05,0.05820598006644519,1
North Acton,3,0.009966777408637873,6.0438273148711026e-05,0.05705426356589147,2
North Ealing,2,0.006644518272425249,5.465587336697062e-05,0.054795127353266894,2
North Harrow,2,0.006644518272425249,4.198752336443597e-05,0.07065337763012182,1
North Wembley,2,0.006644518272425249,4.273445872934537e-05,0.019800664451827245,1
