station1,station2,line,time
1,2,13,1
1,3,13,2
3,4,13,2
4,5,13,1
5,6,13,1
6,7,13,1
7,8,13,1
8,9,13,1
9,10,13,1
10,11,13,1
11,12,13,2
12,13,13,1
13,14,13,1
14,15,13,1
15,16,13,1
16,17,13,1
17,18,13,2
18,19,13,3
19,20,13,1
20,21,13,1
18,21,13,1
13,15,13,2
13,22,13,1
22,23,13,1
11,23,13,1
24,25,32,1
25,26,32,2
26,27,32,1
27,28,32,2
28,29,32,1
29,30,32,2
30,31,32,2
31,32,32,2
32,33,32,1
33,34,32,1
34,35,32,2
35,36,32,2
36,37,32,2
37,38,32,1
38,39,32,1
39,40,32,1
40,41,32,2
41,42,32,1
42,43,32,1
43,44,32,1
24,44,32,2
24,44,33,2
43,44,33,1
43,45,33,1
41,45,33,2
41,46,33,1
46,47,33,1
47,48,33,1
39,48,33,1
38,39,33,1
37,38,33,1
37,49,33,1
49,50,33,2
50,51,33,2
34,51,33,1
33,34,33,1
33,52,33,1
52,53,33,1
30,53,33,1
30,54,33,1
29,54,33,1
29,55,33,2
27,55,33,1
26,27,33,1
25,26,33,2
24,25,33,1
56,57,27,1
57,58,27,1
58,59,27,1
59,60,27,2
59,61,27,1
61,62,27,1
62,63,27,1
63,64,27,2
64,65,27,1
65,66,27,2
66,67,27,2
67,68,27,1
68,69,27,1
69,70,27,1
70,71,27,1
71,72,27,1
72,73,27,2
73,74,27,1
24,74,27,2
24,44,27,2
44,75,27,1
75,76,27,1
76,77,27,1
77,78,27,2
78,79,27,2
79,80,27,2
80,81,27,1
81,82,27,2
82,83,27,1
83,84,27,2
84,85,27,1
85,86,27,1
86,87,27,2
87,88,27,2
88,89,27,1
89,90,27,1
90,91,27,1
91,92,27,1
92,93,27,1
93,94,27,1
94,95,27,1
95,96,27,1
61,66,27,7
74,78,27,6
85,87,27,3
44,96,27,22
24,62,27,17
62,75,27,20
63,77,27,21
91,93,27,2
88,97,27,1
87,97,27,1
87,98,27,1
86,98,27,1
86,99,27,1
84,99,27,1
84,100,27,1
100,101,27,2
81,101,27,1
29,81,27,2
29,102,27,2
102,103,27,1
103,104,27,1
25,104,27,2
25,74,27,2
73,105,27,1
105,106,27,1
106,107,27,1
107,108,27,1
108,109,27,1
109,110,27,1
110,111,27,1
111,112,27,1
112,113,27,1
113,114,27,2
114,115,27,1
115,116,27,1
64,116,27,2
58,61,27,1
29,84,27,6
117,118,27,2
118,119,27,1
97,119,27,2
64,66,27,3
88,119,27,1
44,117,27,22
24,75,27,2
65,77,27,18
60,66,27,10
61,63,27,2
120,121,11,1
121,122,11,1
122,123,11,1
123,124,11,1
124,125,11,2
125,126,11,1
126,127,11,1
127,128,11,1
128,129,11,1
129,130,11,1
130,131,11,2
109,131,11,1
108,109,11,1
107,108,11,1
106,107,11,1
106,132,11,1
73,132,11,1
73,74,11,1
74,75,11,4
75,76,11,1
76,133,11,1
78,133,11,2
21,78,11,1
18,21,11,1
18,134,11,2
31,134,11,2
31,135,11,1
135,136,11,1
136,137,11,1
137,138,11,1
138,139,11,1
139,140,11,1
140,141,11,1
141,142,11,1
142,143,11,1
143,144,11,2
144,145,11,1
145,146,11,2
146,147,11,2
147,148,11,1
120,149,11,3
24,74,11,2
24,44,11,2
44,75,11,1
150,151,11,1
116,151,11,1
115,116,11,1
114,115,11,1
113,114,11,2
112,113,11,1
111,112,11,1
110,111,11,1
108,110,11,2
143,152,11,1
152,153,11,1
153,154,11,1
154,155,11,1
155,156,11,1
156,157,11,1
157,158,11,1
158,159,11,1
159,160,11,1
137,161,11,1
135,161,11,1
18,20,11,2
19,20,11,1
19,162,11,2
76,162,11,2
73,105,11,1
105,106,11,1
109,110,11,1
162,163,11,1
38,163,11,2
38,164,11,1
164,165,11,1
165,166,11,1
19,166,11,1
20,21,11,1
77,162,13,1
77,78,13,2
21,78,13,1
167,168,13,1
168,169,13,1
169,170,13,2
170,171,13,2
171,172,13,1
172,173,13,1
2,173,13,1
174,175,14,1
175,176,14,1
176,177,14,1
177,178,14,1
178,179,14,1
179,180,14,1
180,181,14,1
181,182,14,1
182,183,14,1
183,184,14,1
184,185,14,1
185,186,14,1
186,187,14,1
187,188,14,1
188,189,14,1
189,190,14,1
163,190,14,1
162,163,14,1
77,162,14,1
77,78,14,2
78,79,14,2
79,80,14,2
30,80,14,1
30,54,14,1
54,191,14,3
191,192,14,2
192,193,14,1
193,194,14,2
194,195,14,1
195,196,14,1
196,197,14,2
197,198,14,1
198,199,14,1
199,200,14,1
200,201,14,1
201,202,14,1
195,203,14,1
194,203,14,1
192,204,14,1
191,204,14,1
191,205,14,1
205,206,14,1
54,206,14,1
30,134,14,2
18,134,14,2
18,20,14,2
19,20,14,1
19,162,14,2
162,190,14,2
174,177,14,1
196,207,14,1
207,208,14,2
208,209,14,1
209,210,14,1
210,211,14,1
211,212,14,1
212,213,14,2
213,214,14,1
214,215,14,1
215,216,14,2
216,217,14,2
217,218,14,2
218,219,14,2
219,220,14,1
213,220,14,2
209,221,14,2
207,221,14,1
208,222,14,1
222,223,14,1
223,224,14,2
224,225,14,1
225,226,14,1
226,227,14,1
227,228,14,1
228,229,14,2
229,230,14,3
230,231,14,1
231,232,14,2
228,232,14,1
222,224,14,2
221,222,14,1
76,162,14,2
75,76,14,1
75,233,14,1
196,233,14,15
104,233,14,1
103,104,14,1
103,234,14,2
234,235,14,1
191,235,14,3
236,237,19,1
237,238,19,1
238,239,19,1
239,240,19,1
240,241,19,1
241,242,19,1
242,243,19,1
243,244,19,3
244,245,19,2
245,246,19,3
246,247,19,1
247,248,19,1
248,249,19,1
249,250,19,1
250,251,19,1
77,251,19,5
77,78,19,2
78,79,19,2
79,80,19,2
80,81,19,1
81,82,19,2
82,83,19,1
83,84,19,2
84,85,19,1
85,86,19,1
86,87,19,2
87,252,19,2
252,253,19,1
253,254,19,2
254,255,19,2
255,256,19,1
256,257,19,1
257,258,19,1
258,259,19,2
259,260,19,1
260,261,19,1
261,262,19,1
262,263,19,1
263,264,19,1
264,265,19,30
259,261,19,2
254,266,19,2
252,266,19,1
87,98,19,1
86,98,19,1
86,99,19,1
84,99,19,1
84,100,19,1
82,100,19,1
81,134,19,2
18,134,19,2
18,20,19,2
19,20,19,1
19,162,19,2
162,267,19,1
