station_id,station_name,neighborhood,population_density,unibo_attraction
1,Pavese,Santo Stefano,6000,0.0
2,Toscana Pavese 2,Santo Stefano,6000,0.0
3,Toscana Pietro Da Anzola,Santo Stefano,6000,0.0
4,Ponte Savena,Santo Stefano,6000,0.0
5,San Ruffillo,Santo Stefano,6000,0.0
6,Angelo Custode,Savena,6500,0.0
7,Direttissima,Savena,6500,0.0
8,Croce di Camaldoli,Savena,6500,0.0
9,Villa Mazzacorati,Savena,6500,0.0
10,Parisio,Savena,6500,0.0
11,Chiesa Nuova,Santo Stefano,6000,0.0
12,Varthema,Santo Stefano,6000,0.0
13,Ragno,Santo Stefano,6000,0.0
14,Sterlino,Santo Stefano,6000,0.0
15,Murri,Santo Stefano,6000,0.0
16,Porta Santo Stefano Rosa Parks,Santo Stefano,6000,0.0
17,Baraccano,Centro,8500,0.0
18,Garganelli,Centro,8500,0.0
19,Rizzoli,Centro,8500,0.0
20,Piazza Minghetti,Centro,8500,0.0
21,Piazza Minghetti,Centro,8500,0.0
22,Ragno,Santo Stefano,6000,0.0
23,Varthema,Santo Stefano,6000,0.0
24,Porta Galliera,Centro,8500,0.0
25,Bologna Centrale,Centro,9500,0.0
26,Borgo,Centro,8500,0.0
27,Porta Mascarella,Centro,8500,0.0
28,Porta San Donato,Centro,8500,0.0
29,Porta San Vitale,Centro,8500,0.0
30,Porta Maggiore,Centro,8500,0.0
31,Carducci,Centro,8500,0.0
32,Porta Santo Stefano,Santo Stefano,6000,0.0
33,Giardini Margherita,Santo Stefano,6000,0.0
34,Porta Castiglione,Centro,8500,0.0
35,Parcheggio Staveco,Centro,8500,0.0
36,Porta San Mamolo,Centro,8500,0.0
37,Aldini,Porto-Saragozza,6000,0.0
38,Porta Saragozza - Villa Cassarini,Porto-Saragozza,6000,0.0
39,Porta Saragozza - Liceo Righi,Porto-Saragozza,6000,0.0
40,Viale Vicini,Porto-Saragozza,6000,0.0
41,Porta San Felice,Porto-Saragozza,6000,0.0
42,Porta Lame,Porto-Saragozza,6000,0.0
43,Don Minzoni,Centro,8500,0.0
44,XX Settembre,Centro,8500,0.0
45,Porta Lame,Porto-Saragozza,6000,0.0
46,Porta San Felice,Porto-Saragozza,6000,0.0
47,Vicini,Porto-Saragozza,6000,0.0
48,Viale Pepoli,Porto-Saragozza,6000,0.0
49,Petrarca,Centro,8500,0.0
50,Porta San Mamolo,Centro,8500,0.0
51,Parcheggio Staveco,Centro,8500,0.0
52,Porta Santo Stefano,Santo Stefano,6000,0.0
53,Carducci,Centro,8500,0.0
54,Plesso Belmeloro,Centro,8500,1.0
55,Porta San Donato,Centro,8500,0.0
56,Byron,Navile,5000,0.0
57,Sant'Anna,Navile,5000,0.0
58,Zanichelli,Navile,5000,0.0
59,Fonti,Navile,5000,0.0
60,Corticella Stazione,Navile,5000,0.0
61,Via di Corticella 238,Navile,5000,0.0
62,Marescalchi,Navile,5000,0.0
63,Solari,Navile,5000,0.0
64,Stop_13036913669,Navile,5000,0.0
65,Stop_13036913672,Navile,5000,0.0
66,Croce Coperta,Navile,5000,0.0
67,Caserme Rosse,Navile,5000,0.0
68,De Giovanni,Navile,5000,0.0
69,Ippodromo,Navile,5000,0.0
70,Ippodromo,Navile,5000,0.0
71,Lombardi,Navile,5000,0.0
72,Piazza dell'Unita,Centro,8500,0.0
73,Piazza dell'Unità,Centro,8500,0.0
