id,name,latitude,longitude,zone,type
1,Pavese,44.45021,11.36075,Santo Stefano,Station
2,Toscana Pavese 2,44.44853,11.3597,Santo Stefano,Station
3,Toscana Pietro Da Anzola,44.45254,11.36462,Santo Stefano,Station
4,Ponte Savena,44.45504,11.36798,Santo Stefano,Station
5,San Ruffillo,44.45714,11.36955,Santo Stefano,Station
6,Angelo Custode,44.46029,11.37031,Savena,Station
7,Direttissima,44.46359,11.37088,Savena,Station
8,Croce di Camaldoli,44.4664,11.37078,Savena,Station
9,Villa Mazzacorati,44.46908,11.37103,Savena,Station
10,Parisio,44.47185,11.37004,Savena,Station
11,Chiesa Nuova,44.47371,11.36855,Santo Stefano,Station
12,Varthema,44.47725,11.36636,Santo Stefano,Station
13,Ragno,44.48001,11.36382,Santo Stefano,Station
14,Sterlino,44.48141,11.36123,Santo Stefano,Station
15,Murri,44.48235,11.35964,Santo Stefano,Station
16,Porta Santo Stefano Rosa Parks,44.4837,11.35769,Santo Stefano,Station
17,Baraccano,44.48578,11.35465,Centro,Station
18,Garganelli,44.48967,11.35062,Centro,Station
19,Rizzoli,44.49126,11.34256,Centro,Station
20,Piazza Minghetti,44.49145,11.34533,Centro,Station
21,Piazza Minghetti,44.49145,11.34721,Centro,Station
22,Ragno,44.47824,11.3655,Santo Stefano,Station
23,Varthema,44.47622,11.36697,Santo Stefano,Station
24,Porta Galliera,44.50492,11.34431,Centro,Station
25,Bologna Centrale,44.50443,11.34611,Centro,Station
26,Borgo,44.50287,11.35127,Centro,Station
27,Porta Mascarella,44.50165,11.35447,Centro,Station
28,Porta San Donato,44.49756,11.35659,Centro,Station
29,Porta San Vitale,44.49475,11.35698,Centro,Station
30,Porta Maggiore,44.49137,11.3574,Centro,Station
31,Carducci,44.4875,11.35913,Centro,Station
32,Porta Santo Stefano,44.4846,11.35531,Santo Stefano,Station
33,Giardini Margherita,44.48487,11.35248,Santo Stefano,Station
34,Porta Castiglione,44.48526,11.34927,Centro,Station
35,Parcheggio Staveco,44.48593,11.34418,Centro,Station
36,Porta San Mamolo,44.48693,11.33837,Centro,Station
37,Aldini,44.48858,11.33392,Porto-Saragozza,Station
38,Porta Saragozza - Villa Cassarini,44.49018,11.33121,Porto-Saragozza,Station
39,Porta Saragozza - Liceo Righi,44.49188,11.32923,Porto-Saragozza,Station
40,Viale Vicini,44.49519,11.3283,Porto-Saragozza,Station
41,Porta San Felice,44.50017,11.32853,Porto-Saragozza,Station
42,Porta Lame,44.50184,11.33202,Porto-Saragozza,Station
43,Don Minzoni,44.50296,11.33627,Centro,Station
44,XX Settembre,44.50304,11.34034,Centro,Station
45,Porta Lame,44.5029,11.33374,Porto-Saragozza,Station
46,Porta San Felice,44.49867,11.32696,Porto-Saragozza,Station
47,Vicini,44.49654,11.32764,Porto-Saragozza,Station
48,Viale Pepoli,44.49356,11.32857,Porto-Saragozza,Station
49,Petrarca,44.48771,11.33591,Centro,Station
50,Porta San Mamolo,44.48614,11.34112,Centro,Station
51,Parcheggio Staveco,44.48558,11.34591,Centro,Station
52,Porta Santo Stefano,44.48498,11.35711,Santo Stefano,Station
53,Carducci,44.48823,11.35783,Centro,Station
54,Plesso Belmeloro,44.49322,11.35753,Centro,Campus
55,Porta San Donato,44.49913,11.3566,Centro,Station
56,Byron,44.54637,11.36054,Navile,Station
57,Sant'Anna,44.54814,11.36061,Navile,Station
58,Zanichelli,44.54776,11.35737,Navile,Station
59,Fonti,44.54833,11.35543,Navile,Station
60,Corticella Stazione,44.55191,11.35454,Navile,Station
61,Via di Corticella 238,44.54617,11.35588,Navile,Station
62,Marescalchi,44.54332,11.35559,Navile,Station
63,Solari,44.54063,11.35678,Navile,Station
64,Stop_13036913669,44.53644,11.35635,Navile,Station
65,Stop_13036913672,44.53476,11.35621,Navile,Station
66,Croce Coperta,44.53056,11.35238,Navile,Station
67,Caserme Rosse,44.52583,11.34971,Navile,Station
68,De Giovanni,44.52398,11.34892,Navile,Station
69,Ippodromo,44.52145,11.34812,Navile,Station
70,Ippodromo,44.51854,11.34796,Navile,Station
71,Lombardi,44.51702,11.3477,Navile,Station
72,Piazza dell'Unita,44.51447,11.34748,Centro,Station
73,Piazza dell'Unità,44.5106,11.34716,Centro,Station
74,Sacro Cuore,44.50852,11.34654,Centro,Station
75,Piazza dei Martiri,44.50073,11.33926,Centro,Station
76,Via Marconi,44.49772,11.3379,Centro,Station
77,Ugo Bassi,44.49555,11.33849,Centro,Station
78,Due Torri,44.49441,11.34541,Centro,Station
79,Strada Maggiore,44.49272,11.35034,Centro,Station
80,Torleone,44.49086,11.35516,Centro,Station
81,Porta Maggiore,44.48974,11.35828,Centro,Station
82,Albertoni,44.48791,11.36307,San Donato,Station
83,Alemanni,44.48711,11.36512,San Donato,Station
84,Laura Bassi,44.48528,11.37003,San Donato,Station
85,Fermi,44.48446,11.37218,Savena,Station
86,Mazzini Stazione,44.48292,11.37616,Savena,Station
87,Pontevecchio,44.48127,11.38095,Savena,Station
88,Bitone,44.47803,11.38472,Savena,Station
