stop_id,next_stop_id,route_id
8148,8146,52
8146,8144,52
8144,856,52
856,758,52
758,809,52
8179,8180,52
8180,8178,52
8178,8176,52
8176,8172,52
8172,8170,52
8170,8173,52
8173,8168,52
8168,8164,52
8164,8162,52
8162,8160,52
8160,8158,52
8158,8182,52
8182,8156,52
8156,8152,52
8152,8112,52
8112,8110,52
8110,8106,52
8106,8104,52
8104,8102,52
8102,856,52
809,753,52
753,855,52
855,8101,52
8101,8103,52
8103,8105,52
8105,8109,52
8109,8111,52
8111,8151,52
8151,8153,52
8153,8181,52
8181,8157,52
8157,8159,52
8159,8161,52
8161,8163,52
8163,8167,52
8167,8169,52
8169,8171,52
8171,8175,52
8175,8177,52
8177,8179,52
855,8145,52
8145,8148,52
8144,8101,52
8102,8145,52
809,803,51
803,37,51
37,35,51
35,9001,51
9001,9003,51
9003,9301,51
9301,9303,51
9303,9305,51
9305,9309,51
9309,9311,51
9311,9313,51
9313,9320,51
9320,9318,51
9318,9314,51
9314,9312,51
9312,9310,51
9310,9306,51
9306,9304,51
9304,9302,51
9302,9006,51
9006,9004,51
9004,9002,51
9002,912,51
912,906,51
906,809,51
7236,7234,57
7234,7232,57
7232,7010,57
7010,7006,57
7006,7004,57
7004,7002,57
7002,46,57
46,710,57
710,706,57
706,702,57
702,455,57
455,459,57
459,467,57
467,475,57
475,470,57
470,462,57
462,452,57
452,703,57
703,707,57
707,711,57
711,7001,57
7001,7003,57
7003,7007,57
7007,7005,57
7005,7231,57
7231,7233,57
7233,7236,57
3111,3120,21
3120,3122,21
3122,3112,21
3112,3110,21
3110,3106,21
3106,3104,21
3104,3102,21
3102,3202,21
3202,3204,21
3204,3208,21
3208,3210,21
3210,3212,21
3212,3214,21
3214,3216,21
3216,4004,21
4004,4002,21
4002,9,21
9,470,21
470,462,21
462,452,21
452,701,21
701,705,21
705,709,21
709,7101,21
7101,7103,21
7103,7105,21
7105,7109,21
7109,7111,21
7111,7113,21
7113,7117,21
7117,7119,21
7119,7123,21
7123,7019,21
7019,7021,21
7021,7025,21
7025,7051,21
7051,7053,21
7053,7055,21
7055,7060,21
7060,7056,21
7056,7054,21
7054,7052,21
7052,7030,21
7030,7028,21
7028,7124,21
7124,7120,21
7120,7118,21
7118,7114,21
7114,7112,21
7112,7110,21
7110,7106,21
7106,7104,21
7104,7102,21
7102,710,21
710,706,21
706,702,21
702,455,21
455,459,21
459,469,21
469,2,21
2,4001,21
4001,4003,21
4003,4103,21
4103,4109,21
4109,4111,21
4111,3201,21
3201,3203,21
3203,3343,21
3343,3347,21
3347,3101,21
3101,3103,21
3103,3105,21
3105,3109,21
3109,3111,21
3111,3113,21
3113,3356,21
3356,3015,21
3015,3017,21
3017,3501,21
3501,3545,21
3545,3553,21
3553,3506,21
3506,3504,21
3504,3502,21
3502,3020,21
3020,3018,21
3018,3014,21
3014,3118,21
3118,3114,21
3114,3112,21
3501,3503,21
3503,3505,21
3505,3507,21
3507,3509,21
3509,3511,21
3511,3513,21
3513,3517,21
3517,30001,21
30001,30005,21
30005,30009,21
30009,30013,21
30013,30017,21
30017,30021,21
30021,30003,21
30003,30022,21
30022,30018,21
30018,30014,21
30014,32006,21
32006,32008,21
32008,32010,21
32010,32014,21
32014,32022,21
32022,32026,21
32026,32030,21
32030,32034,21
32034,32038,21
32038,32042,21
807,799,41
799,803,41
803,805,41
805,8007,41
8007,8001,41
8001,8003,41
8003,8005,41
8005,8009,41
8009,8012,41
8012,8024,41
8024,8010,41
8010,8006,41
8006,8014,41
8014,8004,41
8004,8002,41
8002,806,41
806,804,41
804,807,41
2476,2472,56
2472,2470,56
2470,2468,56
2468,2464,56
2464,2462,56
2462,2460,56
2460,2456,56
2456,2453,56
2453,2448,56
2448,2452,56
2452,2025,56
2025,2304,56
2304,2302,56
2302,1408,56
1408,1406,56
1406,1400,56
2451,2457,56
2457,2454,56
2454,2455,56
2455,2459,56
2459,2461,56
2461,2463,56
2463,2467,56
2467,2469,56
2469,2477,56
2477,2479,56
2479,2476,56
99010,7231,58
7231,99013,58
99013,500001,58
500001,500003,58
500003,500005,58
500005,500007,58
500007,500009,58
500009,500011,58
500011,500013,58
500013,500017,58
500017,500016,58
500016,500014,58
500014,500012,58
500012,500010,58
500010,500020,58
500020,500022,58
500022,500024,58
500024,500026,58
500026,500028,58
500028,500030,58
500030,500032,58
500032,500034,58
500034,7014,58
7014,99010,58
500009,500020,58
1054,1066,15
1066,1064,15
1064,1062,15
1062,1060,15
1060,1502,15
1502,1044,15
1044,1042,15
1042,1038,15
1038,1036,15
1036,1034,15
1034,1028,15
1028,1026,15
1026,1022,15
1022,1020,15
1020,1018,15
1018,1012,15
1012,1010,15
1010,1006,15
1006,1004,15
1004,1002,15
1002,910,15
910,906,15
906,904,15
904,753,15
753,704,15
704,455,15
455,459,15
459,467,15
467,475,15
1412,4202,41
4202,15,41
15,470,41
470,462,41
462,452,41
452,602,41
602,100,41
100,112,41
112,799,41
804,802,41
802,114,41
114,108,41
108,601,41
601,455,41
455,459,41
459,463,41
463,409,41
409,4399,41
4399,4401,41
4401,1412,41
9019,9021,13
9021,9025,13
9025,9027,13
9027,9029,13
9029,9035,13
9035,9037,13
9037,9501,13
9501,9499,13
9499,9503,13
9503,9505,13
9505,9519,13
9519,9506,13
9506,9504,13
9504,9500,13
9500,9502,13
9502,9040,13
9040,9036,13
9036,9030,13
9030,9028,13
9028,9026,13
9026,9022,13
9022,9020,13
9020,9018,13
9018,9014,13
9014,9012,13
9012,9010,13
9010,9006,13
9006,9004,13
9004,9002,13
9002,912,13
912,906,13
906,904,13
904,753,13
753,704,13
704,604,13
604,105,13
105,903,13
903,905,13
905,911,13
911,9001,13
9001,9003,13
9003,9005,13
9005,9009,13
9009,9011,13
9011,9013,13
9013,9017,13
9017,9019,13
9037,9100,13
9100,9500,13
9505,9507,13
9507,9509,13
9509,9511,13
9511,9513,13
9513,9516,13
9516,9514,13
9514,9512,13
9512,9510,13
9510,9508,13
9508,9506,13
475,470,15
470,462,15
462,452,15
452,604,15
604,105,15
105,111,15
111,117,15
117,1003,15
1003,1005,15
1005,1009,15
1009,1011,15
1011,1013,15
1013,1019,15
1019,1021,15
1021,1025,15
1025,1031,15
1031,1027,15
1027,1033,15
1033,1035,15
1035,1037,15
1037,1041,15
1041,1043,15
1043,1045,15
1045,1053,15
1053,1061,15
1061,1063,15
1063,1065,15
1065,1054,15
455,459,14
459,463,14
463,301,14
301,303,14
303,305,14
305,2105,14
2105,2003,14
2003,2005,14
2005,2009,14
2009,2011,14
2011,2013,14
2013,2017,14
2017,2019,14
2019,2021,14
2021,2451,14
2451,2457,14
2457,2491,14
2491,2493,14
604,109,14
109,111,14
111,117,14
117,27,14
27,2001,14
2001,2003,14
449,463,28
463,301,28
301,303,28
303,305,28
305,3007,28
3007,3003,28
3003,3202,28
3202,3206,28
3206,3331,28
3331,3345,28
3345,3339,28
3339,3341,28
3341,3204,28
3204,3205,28
3205,3004,28
3004,306,28
306,304,28
304,302,28
302,466,28
466,449,28
5,470,30
470,462,30
462,452,30
452,701,30
701,707,30
707,760,30
760,756,30
756,754,30
754,750,30
750,803,30
803,805,30
805,8007,30
8007,8001,30
8001,8003,30
8003,8011,30
8011,8017,30
8017,8019,30
8019,8026,30
8026,8022,30
8022,8020,30
8020,8018,30
8018,8014,30
8014,8004,30
8004,8002,30
8002,806,30
806,804,30
804,753,30
753,702,30
702,455,30
455,459,30
459,469,30
469,5,30
8011,8013,30
1408,1406,55
1406,1404,55
1404,1402,55
1402,1156,55
1156,1154,55
1154,1119,55
1119,1152,55
1152,9455,55
9455,9459,55
5714,5710,54
5710,5706,54
5706,5704,54
5704,5702,54
5702,6027,54
6027,6029,54
6029,6033,54
6033,6035,54
6035,6037,54
6037,6043,54
5714,5751,54
5751,5754,54
5754,5758,54
5758,5762,54
5762,5759,54
5759,5755,54
5755,5766,54
5766,5750,54
5750,5710,54
6043,6657,54
6657,6661,54
6661,6665,54
6665,6667,54
6667,6671,54
6671,6669,54
6669,6673,54
6673,6677,54
6677,6681,54
6681,6685,54
6685,6689,54
6689,6691,54
6691,6693,54
6693,6695,54
6695,6274,54
6274,6272,54
6272,6030,54
6030,5701,54
5701,5703,54
5703,5705,54
5705,5709,54
5709,5714,54
6695,6040,54
6040,6274,54
5122,5120,30
5120,5118,30
5118,5114,30
5114,5112,30
5112,5110,30
5110,5104,30
5104,5102,30
5102,5010,30
5010,5006,30
5006,4210,30
4210,4206,30
4206,4204,30
4204,4202,30
4202,5,30
469,2,30
2,4399,30
4399,4401,30
4401,1412,30
1412,4205,30
4205,4209,30
4209,5005,30
5005,5009,30
5009,5101,30
5101,5103,30
5103,5105,30
5105,5109,30
5109,5111,30
5111,5113,30
5113,5117,30
5117,5122,30
904,800,13
800,897,13
897,903,13
9513,9517,13
9517,90521,13
90521,90525,13
90525,90529,13
90529,90541,13
90541,90545,13
90545,90549,13
90549,90557,13
90557,90561,13
90561,90565,13
90565,90071,13
90071,90075,13
90075,90079,13
90079,90573,13
90573,90571,13
90571,90581,13
90581,90585,13
90585,90589,13
90589,90150,13
90150,90590,13
90590,90586,13
90586,90582,13
90582,90572,13
90572,90574,13
90574,90080,13
90080,90076,13
90076,90072,13
90072,90566,13
90566,90562,13
90562,90558,13
90558,90550,13
90550,90546,13
90546,90542,13
90542,90534,13
90534,90526,13
90526,90522,13
90522,9518,13
1405,1407,14
