stop_id,next_stop_id,route_id
TR_R_01,TR_R_02,RED
TR_R_02,TR_R_03,RED
TR_R_03,TR_R_04,RED
TR_R_04,TR_R_05,RED
TR_R_05,TR_R_06,RED
TR_R_06,TR_R_07,RED
TR_R_07,TR_R_08,RED
TR_R_08,TR_R_09,RED
TR_R_09,TR_R_10,RED
TR_R_10,TR_R_11,RED
TR_R_11,TR_R_12,RED
TR_R_12,TR_RV_01,RED
TR_RV_01,TR_RV_02,RED
TR_RV_02,TR_RV_03,RED
TR_RV_03,TR_R_13,RED
TR_R_13,TR_R_14,RED
TR_R_14,TR_R_15,RED
TR_R_15,TR_R_16,RED
TR_R_16,TR_R_17,RED
TR_R_17,TR_R_18,RED
TR_R_18,TR_R_19,RED
TR_R_19,TR_R_20,RED
TR_R_20,TR_R_21,RED
TR_R_21,TR_R_22,RED
TR_R_22,TR_R_23,RED
TR_R_23,TR_R_24,RED
TR_R_24,TR_R_25,RED
TR_R_25,TR_R_26,RED
TR_R_26,TR_R_27,RED
TR_R_27,TR_R_28,RED
TR_R_28,TR_R_29,RED
TR_RB_01,TR_RB_02,RED
TR_RB_02,TR_R_10,RED
TR_R_15,TR_RC_17,RED
TR_RC_17,TR_R_18,RED
TR_V_01,TR_V_02,GREEN
TR_V_02,TR_V_03,GREEN
TR_V_03,TR_V_04,GREEN
TR_V_04,TR_V_05,GREEN
TR_V_05,TR_V_06,GREEN
TR_V_06,TR_V_07,GREEN
TR_V_07,TR_V_08,GREEN
TR_V_08,TR_V_09,GREEN
TR_V_09,TR_V_10,GREEN
TR_V_10,TR_V_11,GREEN
TR_V_11,TR_V_12,GREEN
TR_V_12,TR_V_13,GREEN
TR_V_13,TR_RV_01,GREEN
TR_RV_01,TR_RV_02,GREEN
TR_RV_02,TR_RV_03,GREEN
TR_RV_03,TR_V_14,GREEN
