stop_name,stop_id,stop_lat,stop_lon,node_type
ALDINI VALERIANI,TR_V_11,44.5217465,11.348165,fermata
ALDO MOROREGIONEFIERA,TR_R_10,44.509514,11.3619814,intersezione
BENTINI,TR_V_05,44.5426139,11.3559402,fermata
CA DEI FIORI,TR_V_13,44.5136854,11.3472839,fermata
CADRIANO BIVIO,TR_R_05,44.51184256,11.38479632,fermata
CANALE DI RENOLAME,TR_R_16,44.4985202,11.3351271,fermata
CASERME ROSSE,TR_V_10,44.5247779,11.3493402,fermata
CORTICELLA STAZIONE,TR_V_01,44.55191145,11.35428764,capolinea
CROCE COPERTA,TR_V_09,44.5304546,11.35220892,fermata
DON FIAMMELLI,TR_V_07,44.5379907,11.3563372,fermata
DUCATI,TR_R_27,44.5191739,11.2702074,fermata
EMILIO LEPIDO,TR_R_29,44.5232201,11.2622004,capolinea
FACOLTA DI AGRARIA,TR_R_01,44.51355891,11.40660751,capolinea
INDIPENDENZA8 AGOSTO,TR_R_13,44.5008531,11.3443268,fermata
IPPODROMO,TR_V_12,44.5176945,11.347836,fermata
LIPPARINI,TR_V_06,44.5404353,11.3561969,fermata
MANUZIO,TR_R_26,44.5167291,11.277115,fermata
MATTEOTTI ALTA VELOCITA,TR_RV_02,44.50712273,11.34603366,intersezione
MICHELINOFIERA NORD,TR_RB_01,44.5120748,11.3707273,capolinea
MILLE,TR_V_14,44.5018935,11.3409547,capolinea
OSPEDALE MAGGIORE,TR_R_20,44.5036493,11.3148338,fermata
PALADOZZARIVA RENO,TR_R_17,44.4981633,11.3315835,fermata
PALADOZZASAN FELICE,TR_RC_17,44.4976675,11.3317013,fermata
PIAZZA DELLUNITA,TR_RV_01,44.51159728,11.34755204,intersezione
PIAZZA MAGGIORESAN PIETRO,TR_R_14,44.4972202,11.343272,fermata
PIAZZA SPADOLINI,TR_R_08,44.5039,11.3667984,fermata
PILASTRO,TR_R_03,44.51107229,11.39581271,fermata
PINARDI,TR_V_08,44.53469376,11.35617147,fermata
PIRANDELLO,TR_R_04,44.5117616,11.38977049,fermata
PONTELUNGO,TR_R_23,44.5089505,11.2965104,fermata
PORTA SAN FELICE,TR_R_18,44.498997,11.3280357,fermata
PRATI DI CAPRARA,TR_R_21,44.5051953,11.3104895,fermata
REPUBBLICA,TR_R_09,44.5059139,11.3614718,fermata
SAFFI,TR_R_19,44.5018174,11.3200031,fermata
SAN DONATO,TR_R_07,44.5053004,11.3716615,fermata
SAN DONNINO,TR_R_06,44.5078525,11.3768561,fermata
SANTA VIOLA,TR_R_22,44.5070375,11.3051174,fermata
SANTANNA,TR_V_03,44.54819701,11.36067947,fermata
SHAKESPEARE,TR_V_02,44.550571,11.358646,fermata
SIGHINOLFI,TR_R_02,44.51122389,11.40155752,fermata
STALINGRADO,TR_R_11,44.5106383,11.3563668,fermata
STAZIONE BORGO PANIGALE,TR_R_25,44.5142567,11.2839181,fermata
STAZIONE CENTRALE,TR_RV_03,44.5043307,11.3452508,intersezione
TEATRO CENTOFIORI,TR_V_04,44.546272,11.356402,fermata
TRIUMVIRATO,TR_R_24,44.511397,11.2894238,fermata
UGO BASSI,TR_R_15,44.4956081,11.3383091,fermata
VIALE DELLA FIERALICEO COPERNICO,TR_RB_02,44.5074566,11.3676925,fermata
VILLAGGIO INA,TR_R_28,44.5210753,11.2646523,fermata
ZUCCA,TR_R_12,44.5117838,11.3480167,fermata
