codice;codice_linea;denominazione;ubicazione;comune;codice_zona;quartiere;geopoint;zona_prossimita;area_statistica
606008;632;LIDO ESTENSI CHIESA [082];VIALE DEGLI ULIVI 16;LIDO DEGLI ESTENSI;604;N/A;44.666582, 12.240324;Fuori Bologna;Fuori Bologna
606008;331;LIDO ESTENSI CHIESA [082];VIALE DEGLI ULIVI 16;LIDO DEGLI ESTENSI;604;N/A;44.666582, 12.240324;Fuori Bologna;Fuori Bologna
606010;634;VACCOLINO [205];ROMEA 48;VACCOLINO;629;N/A;44.801478, 12.178647;Fuori Bologna;Fuori Bologna
606010;334;VACCOLINO [205];ROMEA 48;VACCOLINO;629;N/A;44.801478, 12.178647;Fuori Bologna;Fuori Bologna
606015;332;VIA VALLI BASSE 3;STRADA PODERALE VALLI BASSE;COMACCHIO;601;N/A;44.761807, 12.193742;Fuori Bologna;Fuori Bologna
606017;334;VIA VALLI BASSE 3;STRADA PODERALE VALLI BASSE;COMACCHIO;601;N/A;44.76188, 12.193064;Fuori Bologna;Fuori Bologna
606017;332;VIA VALLI BASSE 3;STRADA PODERALE VALLI BASSE;COMACCHIO;601;N/A;44.76188, 12.193064;Fuori Bologna;Fuori Bologna
606019;332;VIA VALLI BASSE 11;PODERALE VALLI BASSE 7;COMACCHIO;601;N/A;44.761135, 12.204849;Fuori Bologna;Fuori Bologna
606020;332;VIA VALLI BASSE 15;PODERALE VALLI BASSE F15;COMACCHIO;601;N/A;44.760415, 12.216358;Fuori Bologna;Fuori Bologna
606020;334;VIA VALLI BASSE 15;PODERALE VALLI BASSE F15;COMACCHIO;601;N/A;44.760415, 12.216358;Fuori Bologna;Fuori Bologna
606021;334;VIA VALLI BASSE 15;PODERALE VALLI BASSE 15;COMACCHIO;601;N/A;44.760443, 12.216031;Fuori Bologna;Fuori Bologna
606022;333;CORTE LAZIO [121];VIA ARGINE SPINO N.23;COMACCHIO;627;N/A;44.729096, 12.130288;Fuori Bologna;Fuori Bologna
606024;630;VOLANIA [120];VIALE DELLE REGIONI N. FR. 23;COMACCHIO;627;N/A;44.724783, 12.134917;Fuori Bologna;Fuori Bologna
606024;333;VOLANIA [120];VIALE DELLE REGIONI N. FR. 23;COMACCHIO;627;N/A;44.724783, 12.134917;Fuori Bologna;Fuori Bologna
606025;630;VOLANIA [120];VIALE DELLE REGIONI N. 23;VOLANIA;627;N/A;44.724737, 12.134636;Fuori Bologna;Fuori Bologna
606026;333;BUCHETTO [028];VIALE DELLE REGIONI 100 M PRIMA SP.15;COMACCHIO;627;N/A;44.728976, 12.149363;Fuori Bologna;Fuori Bologna
606027;331;CORTE LIVENZA [018];VIA STRADA PROVINCIALE PER OSTELLATO FR.;COMACCHIO;627;N/A;44.700328, 12.140336;Fuori Bologna;Fuori Bologna
606028;333;BUCHETTO [028];VIALE DELLE REGIONI 100 M DOPO SP 15;COMACCHIO;627;N/A;44.728908, 12.148892;Fuori Bologna;Fuori Bologna
606037;332;VACCOLINO PER LAGOSANTO [;LAGOSANTO - VACCOLINO 51;VACCOLINO;629;N/A;44.800847, 12.178018;Fuori Bologna;Fuori Bologna
606039;634;VACCOLINO PER LAGOSANTO [;LAGOSANTO - VACCOLINO 120;VACCOLINO;629;N/A;44.800809, 12.178105;Fuori Bologna;Fuori Bologna
606040;331;LIDO DI SPINA VIALE DEGLI;VIALE ETRUSCHI;LIDO DI SPINA;604;N/A;44.641547, 12.246331;Fuori Bologna;Fuori Bologna
606040;334;LIDO DI SPINA VIALE DEGLI;VIALE ETRUSCHI;LIDO DI SPINA;604;N/A;44.641547, 12.246331;Fuori Bologna;Fuori Bologna
606041;333;LIDO DI SPINA VIALE DEGLI;VIALE ETRUSCHI CIV. 4;COMACCHIO;604;N/A;44.641211, 12.246753;Fuori Bologna;Fuori Bologna
606041;331;LIDO DI SPINA VIALE DEGLI;VIALE ETRUSCHI CIV. 4;COMACCHIO;604;N/A;44.641211, 12.246753;Fuori Bologna;Fuori Bologna
606043;333;LIDO DI SPINA DEGLI ETRUS;VIALE ETRUSCHI;COMACCHIO;604;N/A;44.640228, 12.238566;Fuori Bologna;Fuori Bologna
606045;334;BIVIO VALLI BASSE;STRADA ROMEA (LIDO DELLE NAZIONI);COMACCHIO;601;N/A;44.762087, 12.192102;Fuori Bologna;Fuori Bologna
