note_id,trip_ids,stop_ids,stop_sequences
"101-lm_T","1791_10651177","",""
"101-lm_T","1791_10651179","",""
"101-lm_T","1791_9881004","",""
"101-lm_T","1791_9881010","",""
"101-lm_T","1791_9881011","",""
"101-lm_T","1791_9881013","",""
"101-lm_T","1791_9881014","",""
"101-lm_T","1791_9881020","",""
"101-lm_T","1791_9881021","",""
"101-lm_T","1791_9881022","",""
"101-lm_T","1791_9881025","",""
"101-lm_T","1791_9881027","",""
"101-lm_T","1791_9882706","",""
"101-lm_T","1791_9882708","",""
"101-lm_T","1791_9882709","",""
"101-lm_T","1791_9882711","",""
"101-lm_T","1791_9882715","",""
"101-lm_T","1791_9882720","",""
"101-lm_T","1791_9882723","",""
"101-lm_T","1791_9882725","",""
"101-lm_T","1791_9882726","",""
"101-lm_T","1791_9882729","",""
"101-lm_T","1791_9882731","",""
"101-lm_T","1791_9882736","",""
"101-lm_T","1792_10338449","",""
"101-lm_T","1792_10338452","",""
"101-lm_T","1792_10338457","",""
"101-lm_T","1792_10338461","",""
"101-lm_T","1792_10338462","",""
"101-lm_T","1792_10338464","",""
"101-lm_T","1792_10338466","",""
"101-lm_T","1792_10338468","",""
"101-lm_T","1792_10338469","",""
"101-lm_T","1792_10338472","",""
"101-lm_T","1792_10338473","",""
"101-lm_T","1792_10338474","",""
"101-lm_T","1792_10338480","",""
"101-lm_T","1792_10338481","",""
"101-lm_T","1792_10338486","",""
"101-lm_T","1792_10338490","",""
"101-lm_T","1792_10338496","",""
"101-lm_T","1792_10338498","",""
"101-lm_T","1792_10338500","",""
"101-lm_T","1792_10338505","",""
"101-lm_T","1792_10338511","",""
"101-lm_T","1792_10338516","",""
"101-lm_T","1792_10338518","",""
"101-lm_T","1792_10338520","",""
"101-lm_T","1792_10338526","",""
"101-lm_T","1792_10338528","",""
"101-lm_T","1792_10338529","",""
"101-lm_T","1792_10338531","",""
"101-lm_T","1792_10338535","",""
"101-lm_T","1792_10338536","",""
"101-lm_T","1792_10338539","",""
"101-lm_T","1792_10338540","",""
"101-lm_T","1792_10338541","",""
"101-lm_T","1792_10338547","",""
"101-lm_T","1792_10338548","",""
"101-lm_T","1792_10338550","",""
"101-lm_T","1792_10651177","",""
"101-lm_T","1792_10651179","",""
"101-lm_T","1792_12588665","",""
"101-lm_T","1792_12588667","",""
"101-lm_T","1792_9881004","",""
"101-lm_T","1792_9881010","",""
"101-lm_T","1792_9881011","",""
"101-lm_T","1792_9881013","",""
"101-lm_T","1792_9881014","",""
"101-lm_T","1792_9881020","",""
"101-lm_T","1792_9881021","",""
"101-lm_T","1792_9881022","",""
"101-lm_T","1792_9881025","",""
"101-lm_T","1792_9881027","",""
"101-lm_T","1792_9882706","",""
"101-lm_T","1792_9882708","",""
"101-lm_T","1792_9882709","",""
"101-lm_T","1792_9882711","",""
"101-lm_T","1792_9882715","",""
"101-lm_T","1792_9882720","",""
"101-lm_T","1792_9882723","",""
"101-lm_T","1792_9882725","",""
"101-lm_T","1792_9882726","",""
"101-lm_T","1792_9882729","",""
"101-lm_T","1792_9882731","",""
"101-lm_T","1792_9882736","",""
"14-TCRD_T","1791_11111156","",""
"14-TCRD_T","1791_11111180","",""
"14-TCRD_T","1791_11111193","",""
"14-TCRD_T","1791_11111376","",""
"14-TCRD_T","1791_11111432","",""
"14-TCRD_T","1791_11111449","",""
"14-TCRD_T","1791_11111486","",""
"14-TCRD_T","1791_11111499","",""
"14-TCRD_T","1791_11111542","",""
"14-TCRD_T","1791_11112244","",""
"14-TCRD_T","1791_11112256","",""
"14-TCRD_T","1791_11112266","",""
"14-TCRD_T","1791_11112460","",""
"14-TCRD_T","1791_11112485","",""
"14-TCRD_T","1791_11112527","",""
"14-TCRD_T","1791_11112531","",""
"14-TCRD_T","1791_11112533","",""
"14-TCRD_T","1792_11074377","",""
"14-TCRD_T","1792_11074393","",""
"14-TCRD_T","1792_11074438","",""
"14-TCRD_T","1792_11074528","",""
"14-TCRD_T","1792_11107318","",""
"14-TCRD_T","1792_11107390","",""
"14-TCRD_T","1792_11107405","",""
"14-TCRD_T","1792_11107422","",""
"14-TCRD_T","1792_11107492","",""
"14-TCRD_T","1792_11107507","",""
"14-TCRD_T","1792_11107575","",""
"14-TCRD_T","1792_11107590","",""
"14-TCRD_T","1792_11107608","",""
"14-TCRD_T","1792_11107646","",""
"14-TCRD_T","1792_11107658","",""
"14-TCRD_T","1792_11107714","",""
"14-TCRD_T","1792_11107721","",""
"14-TCRD_T","1792_11111156","",""
"14-TCRD_T","1792_11111180","",""
"14-TCRD_T","1792_11111193","",""
"14-TCRD_T","1792_11111376","",""
"14-TCRD_T","1792_11111432","",""
"14-TCRD_T","1792_11111449","",""
"14-TCRD_T","1792_11111486","",""
"14-TCRD_T","1792_11111499","",""
"14-TCRD_T","1792_11111542","",""
"14-TCRD_T","1792_11112244","",""
"14-TCRD_T","1792_11112256","",""
"14-TCRD_T","1792_11112266","",""
"14-TCRD_T","1792_11112460","",""
"14-TCRD_T","1792_11112485","",""
"14-TCRD_T","1792_11112527","",""
"14-TCRD_T","1792_11112531","",""
"14-TCRD_T","1792_11112533","",""
"14-TCRD_T","1792_11905531","",""
"14-TCRD_T","1792_11905578","",""
"14-TCRD_T","1792_11905594","",""
"14-TCRD_T","1792_11905612","",""
"14-TCRD_T","1792_11905628","",""
"14-TCRD_T","1792_11905653","",""
"14-TCRD_T","1792_11905742","",""
"14-TCRD_T","1792_11905759","",""
"14-TCRD_T","1792_11905791","",""
"14-TCRD_T","1792_12589320","",""
"14-TCRD_T","1792_12589323","",""
"14-TCRD_T","1792_12589390","",""
"14-TCRD_T","1792_12589421","",""
"14-TCRD_T","1792_12589438","",""
"14-TCRD_T","1792_12589452","",""
"14-TCRD_T","1792_12589490","",""
"14-TCRD_T","1792_12589564","",""
"14-TCRD_T","1792_12593419","",""
"14-TCRD_T","1792_12593426","",""
"14-TCRD_T","1792_12593442","",""
"14-TCRD_T","1792_12593473","",""
"14-TCRD_T","1792_12593514","",""
"14-TCRD_T","1792_12593604","",""
"141-pc_T","1791_9809805","",""
"141-pc_T","1792_9809805","",""
"141-pd_T","1791_9755909","",""
"141-pd_T","1791_9755910","",""
"141-pd_T","1792_9755909","",""
"141-pd_T","1792_9755910","",""
"145-pc_T","1791_9809830","",""
"145-pc_T","1792_9809830","",""
"145-pd_T","1791_9810128","",""
"145-pd_T","1792_9810128","",""
"147-p0_T","1791_9810141","",""
"147-p0_T","1791_9867374","",""
"147-p0_T","1791_9867375","",""
"147-p0_T","1791_9867376","",""
"147-p0_T","1791_9867377","",""
"147-p0_T","1791_9867378","",""
"147-p0_T","1791_9867379","",""
"147-p0_T","1791_9908644","",""
"147-p0_T","1791_9908645","",""
"147-p0_T","1791_9908646","",""
"147-p0_T","1791_9908647","",""
"147-p0_T","1791_9908648","",""
"147-p0_T","1791_9908649","",""
"147-p0_T","1791_9908650","",""
"147-p0_T","1791_9908651","",""
"147-p0_T","1792_9810141","",""
"147-p0_T","1792_9867374","",""
"147-p0_T","1792_9867375","",""
"147-p0_T","1792_9867376","",""
"147-p0_T","1792_9867377","",""
"147-p0_T","1792_9867378","",""
"147-p0_T","1792_9867379","",""
"147-p0_T","1792_9867382","",""
"147-p0_T","1792_9867383","",""
"147-p0_T","1792_9908644","",""
"147-p0_T","1792_9908645","",""
"147-p0_T","1792_9908646","",""
"147-p0_T","1792_9908647","",""
"147-p0_T","1792_9908648","",""
"147-p0_T","1792_9908649","",""
"147-p0_T","1792_9908650","",""
"147-p0_T","1792_9908651","",""
"147-p0_T","1792_9908653","",""
"147-p0_T","1792_9908654","",""
"147-p0_T","1792_9908655","",""
"147-p5_T","1792_9867330","",""
"147-p5_T","1792_9867331","",""
"147-p5_T","1792_9867343","",""
"147-p5_T","1792_9867344","",""
"147-p5_T","1792_9867380","",""
"147-p5_T","1792_9867381","",""
"147-p5_T","1792_9908599","",""
"147-p5_T","1792_9908609","",""
"147-p5_T","1792_9908652","",""
"161-gl_T","1792_11300569","",""
"161-gl_T","1792_11300570","",""
"20-1_T","1791_11289162","",""
"20-1_T","1791_11289187","",""
"20-1_T","1791_11289234","",""
"20-1_T","1791_11289252","",""
"20-1_T","1791_11289256","",""
"20-1_T","1791_11289292","",""
"20-1_T","1791_11289294","",""
"20-1_T","1791_11289307","",""
"20-1_T","1791_11289325","",""
"20-1_T","1791_11289326","",""
"20-1_T","1791_11289346","",""
"20-1_T","1791_11289364","",""
"20-1_T","1791_11289400","",""
"20-1_T","1791_11289408","",""
"20-1_T","1791_11289458","",""
"20-1_T","1791_11289490","",""
"20-1_T","1791_11289557","",""
"20-1_T","1791_11289570","",""
"20-1_T","1791_11289573","",""
"20-1_T","1791_11289578","",""
"20-1_T","1791_11289579","",""
"20-1_T","1791_11289583","",""
"20-1_T","1791_11289595","",""
"20-1_T","1791_11289607","",""
"20-1_T","1791_11289625","",""
"20-1_T","1791_11289643","",""
"20-1_T","1791_11289661","",""
"20-1_T","1791_11289665","",""
"20-1_T","1791_11289694","",""
"20-1_T","1791_11289712","",""
"20-1_T","1791_11289723","",""
"20-1_T","1791_11289724","",""
"20-1_T","1791_11289748","",""
"20-1_T","1791_11289749","",""
"20-1_T","1791_11289765","",""
"20-1_T","1791_11289787","",""
"20-1_T","1791_11289800","",""
"20-1_T","1791_11289813","",""
"20-1_T","1791_11289826","",""
"20-1_T","1791_11289843","",""
"20-1_T","1791_11289849","",""
"20-1_T","1791_11289863","",""
"20-1_T","1791_11289880","",""
"20-1_T","1791_11289925","",""
"20-1_T","1791_11289931","",""
"20-1_T","1791_11289940","",""
"20-1_T","1791_11289941","",""
"20-1_T","1791_11289945","",""
"20-1_T","1791_11289946","",""
"20-1_T","1791_11289947","",""
"20-1_T","1791_11289950","",""
"20-1_T","1791_11291613","",""
"20-1_T","1792_11055348","",""
"20-1_T","1792_11055356","",""
"20-1_T","1792_11055368","",""
"20-1_T","1792_11055404","",""
"20-1_T","1792_11055429","",""
"20-1_T","1792_11055463","",""
"20-1_T","1792_11055498","",""
"20-1_T","1792_11055524","",""
"20-1_T","1792_11055534","",""
"20-1_T","1792_11055551","",""
"20-1_T","1792_11055568","",""
"20-1_T","1792_11055621","",""
"20-1_T","1792_11055653","",""
"20-1_T","1792_11055670","",""
"20-1_T","1792_11055715","",""
"20-1_T","1792_11055727","",""
"20-1_T","1792_11055782","",""
"20-1_T","1792_11074796","",""
"20-1_T","1792_11074821","",""
"20-1_T","1792_11074844","",""
"20-1_T","1792_11074892","",""
"20-1_T","1792_11074990","",""
"20-1_T","1792_11083117","",""
"20-1_T","1792_11083125","",""
"20-1_T","1792_11083128","",""
"20-1_T","1792_11083131","",""
"20-1_T","1792_11093228","",""
"20-1_T","1792_11093229","",""
"20-1_T","1792_11093396","",""
"20-1_T","1792_11100748","",""
"20-1_T","1792_11100749","",""
"20-1_T","1792_11100750","",""
"20-1_T","1792_11100751","",""
"20-1_T","1792_11289162","",""
"20-1_T","1792_11289187","",""
"20-1_T","1792_11289234","",""
"20-1_T","1792_11289252","",""
"20-1_T","1792_11289256","",""
"20-1_T","1792_11289292","",""
"20-1_T","1792_11289294","",""
"20-1_T","1792_11289307","",""
"20-1_T","1792_11289325","",""
"20-1_T","1792_11289326","",""
"20-1_T","1792_11289346","",""
"20-1_T","1792_11289364","",""
"20-1_T","1792_11289400","",""
"20-1_T","1792_11289408","",""
"20-1_T","1792_11289458","",""
"20-1_T","1792_11289490","",""
"20-1_T","1792_11289557","",""
"20-1_T","1792_11289570","",""
"20-1_T","1792_11289573","",""
"20-1_T","1792_11289578","",""
"20-1_T","1792_11289579","",""
"20-1_T","1792_11289583","",""
"20-1_T","1792_11289595","",""
"20-1_T","1792_11289607","",""
"20-1_T","1792_11289625","",""
"20-1_T","1792_11289643","",""
"20-1_T","1792_11289661","",""
"20-1_T","1792_11289665","",""
"20-1_T","1792_11289694","",""
"20-1_T","1792_11289712","",""
"20-1_T","1792_11289723","",""
"20-1_T","1792_11289724","",""
