route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
"1","TPERBO","1","Circolare Sinistra_Stazione - Zolino - Ospedale - Pedagna - Stazione - Saffi CUP - Piscina - Rivazza - Campanella - Stazione","3","1bb31a","ffffff"
"101","TPERBO","101","Bologna - San Lazzaro di Savena - Ozzano dell'Emilia - Castel San Pietro Terme - Toscanella di Dozza - Imola","3","00135d","ffffff"
"102","TPERBO","102","Imola Autostazione - Piratello Cimitero","3","686665","ffffff"
"103","TPERBO","103","Piancaldoli - Sassoleone - San Martino in Pedriolo - Castel San Pietro Terme","3","00135d","ffffff"
"104","TPERBO","104","Imola Via Di Vittorio - (Z.I. Selice) - Stazione F.S. - Ospedale Nuovo - Valle del Santerno - Castel del Rio","3","00135d","ffffff"
"106","TPERBO","106","Bologna - Z.I. Quaderna - Z.I. Ponte Rizzoli - Case Macero","3","00135d","ffffff"
"11","TPERBO","11","ITC Luxemburg / Bertalia / Arcoveggio Giardini - Rotonda Corelli / Ponticella","3","772880","ffffff"
"110","TPERBO","110","Castel San Pietro Terme Stazione F.S. - Montecalderaro","3","00135d","ffffff"
"111","TPERBO","111","Varignana - Osteria Grande","3","00135d","ffffff"
"112","TPERBO","112","Castel San Pietro Terme Stazione F.S. - Castel San Pietro Terme","3","00135d","ffffff"
"113","TPERBO","113","Castel San Pietro Terme Stazione F.S. - Scania - Collina II - Castel San Pietro Terme","3","00135d","ffffff"
"114","TPERBO","114","Ponte Quaderna - Osteria Grande - Castel San Pietro Scuole","3","00135d","ffffff"
"116","TPERBO","116","Medicina - Castel Guelfo - Castel San Pietro Terme","3","00135d","ffffff"
"117","TPERBO","116","Linea AGI 116: Medicina - Castel Guelfo - Castel San Pietro Terme","3","00135d","ffffff"
"121","TPERBO","121","San Lazzaro di Savena - Z.I. Cicogna - Borgatella - Mirandola","3","00135d","ffffff"
"122","TPERBO","122","San Lazzaro di Savena - Villanova - Castenaso","3","00135d","ffffff"
"123","TPERBO","123","Mazzini Firenze - Ponticella","3","686665","ffffff"
"124","TPERBO","124","Ponticella - Croara - Villaggio Martino / Ospedale Bellaria - San Lazzaro di Savena","3","00135d","ffffff"
